#Format version: 1.0,,,
time[ms],AccX[g],AccY[g],AccZ[g]
41454670,-0.006,0.06,-0.862
41454710,0.01,0.021,-0.96
41454750,0.027,-0.011,-1.028
41454780,0.005,-0.068,-1.019
41454820,-0.057,-0.092,-0.949
41454860,0.006,-0.073,-1.06
41454900,0.074,-0.073,-1.178
41454940,0.067,-0.109,-1.265
41454980,0.134,-0.136,-1.431
41455010,0.113,-0.177,-1.448
41455050,0.042,-0.149,-1.264
41455090,0.024,-0.045,-1.086
41455130,0.043,0.018,-0.97
41455170,-0.046,0.047,-0.76
41455200,-0.051,0.046,-0.682
41455240,-0.035,0.129,-0.6
41455280,-0.081,0.104,-0.528
41455320,-0.056,0.058,-0.591
41455350,-0.016,0.054,-0.726
41455350,-0.016,0.054,-0.726
41455390,-0.033,-0.016,-0.796
41455430,-0.033,-0.016,-0.796
41455470,0.092,-0.006,-1.033
41455510,0.103,-0.028,-1.179
41455550,0.048,-0.112,-1.215
41455580,0.055,-0.073,-1.259
41455620,0.047,-0.031,-1.27
41455660,0.094,-0.063,-1.345
41455700,0.08,-0.059,-1.317
41455740,0.056,-0.07,-1.198
41455770,0.063,-0.051,-1.061
41455810,0.073,0.044,-0.921
41455850,0.077,0.088,-0.839
41455890,0.037,0.041,-0.751
41455920,0.015,0.043,-0.708
41455960,-0.005,0.091,-0.679
41456000,0.03,0.065,-0.74
41456040,0.035,0.018,-0.811
41456080,0.081,0.09,-0.882
41456120,0.072,-0.004,-0.885
41456160,-0.008,-0.04,-0.995
41456190,-0.008,-0.04,-0.995
41456230,0.019,-0.007,-1.259
41456270,-0.001,-0.008,-1.439
41456310,0.101,-0.068,-1.604
41456340,0.019,0.099,-1.482
41456380,0.031,0.04,-1.229
41456390,0.046,0.029,-0.99
41456420,0.046,0.029,-0.99
41456460,0.08,0.089,-0.915
41456500,0.071,0.073,-0.659
41456530,0.064,0.07,-0.485
41456570,0.067,0.096,-0.443
41456610,0.061,0.063,-0.418
41456650,-0.001,0.036,-0.542
41456690,-0.046,0.05,-0.823
41456730,-0.065,-0.003,-0.886
41456760,-0.112,-0.013,-1.214
41456800,-0.175,-0.022,-1.473
41456840,-0.187,-0.019,-1.673
41456870,-0.168,-0.07,-1.624
41456910,-0.168,-0.07,-1.624
41456950,-0.132,-0.022,-1.577
41456990,-0.126,-0.008,-1.317
41457030,-0.092,0.032,-1.155
41457070,-0.078,0.064,-0.999
41457100,-0.033,0.068,-0.743
41457140,0.028,0.113,-0.488
41457180,0.046,0.157,-0.391
41457220,0.038,0.185,-0.457
41457260,0.016,0.15,-0.398
41457290,-0.029,0.142,-0.603
41457330,-0.016,0.147,-0.922
41457370,-0.023,0.043,-0.902
41457410,-0.014,-0.017,-1.072
41457440,-0.088,0.019,-1.307
41457480,-0.146,-0.001,-1.429
41457520,-0.159,0.015,-1.509
41457560,-0.168,0.026,-1.516
41457600,-0.128,-0.01,-1.386
41457640,-0.105,0.015,-1.255
41457670,-0.105,0.015,-1.255
41457710,-0.078,0.052,-1.13
41457750,-0.022,0.037,-0.927
41457790,0.013,0.031,-0.721
41457830,0.015,0.075,-0.595
41457860,-0.007,0.124,-0.511
41457900,0.003,0.125,-0.44
41457940,0.015,0.075,-0.432
41457980,-0.011,0.052,-0.655
41458010,-0.021,0.093,-0.946
41458050,-0.11,0.161,-0.985
41458090,-0.037,-0.02,-1.303
41458130,-0.044,-0.097,-1.427
41458170,-0.076,0.035,-1.502
41458210,-0.128,0.102,-1.558
41458250,-0.138,0.103,-1.546
41458280,-0.099,0.048,-1.352
41458320,-0.054,0.052,-1.106
41458360,-0.023,0.066,-0.901
41458390,0.029,0.071,-0.741
41458430,0.029,0.071,-0.741
41458470,0.039,0.062,-0.564
41458510,0.052,0.07,-0.529
41458550,0.057,0.096,-0.472
41458580,0.059,0.076,-0.368
41458620,0.021,0.083,-0.519
41458660,-0.044,0.091,-0.839
41458700,-0.014,0.069,-1.014
41458740,-0.039,-0.015,-1.112
41458780,0,0.05,-1.331
41458810,-0.008,0.043,-1.359
41458850,0.003,0.008,-1.553
41458890,-0.057,0.05,-1.525
41458930,-0.078,0.093,-1.387
41458960,-0.047,0.089,-1.216
41459000,-0.035,0.106,-1.101
41459040,-0.045,0.102,-0.921
41459080,-0.014,0.101,-0.782
