#Format version: 1.0,,,
time[ms],AccX[g],AccY[g],AccZ[g]
41399460,-0.054,-0.085,-0.988
41399500,-0.054,-0.085,-0.988
41399540,-0.054,-0.085,-0.988
41399580,-0.054,-0.085,-0.988
41399620,-0.054,-0.086,-0.988
41399660,-0.054,-0.085,-0.988
41399690,-0.054,-0.085,-0.988
41399730,-0.054,-0.085,-0.988
41399770,-0.054,-0.085,-0.988
41399810,-0.054,-0.086,-0.988
41399840,-0.054,-0.085,-0.988
41399880,-0.054,-0.085,-0.988
41399920,-0.054,-0.085,-0.989
41399960,-0.054,-0.085,-0.989
41400000,-0.054,-0.085,-0.988
41400030,-0.054,-0.086,-0.988
41400070,-0.054,-0.085,-0.988
41400110,-0.054,-0.085,-0.988
41400150,-0.054,-0.085,-0.988
41400190,-0.054,-0.085,-0.988
41400230,-0.054,-0.085,-0.988
41400260,-0.053,-0.086,-0.988
41400300,-0.054,-0.085,-0.988
41400340,-0.054,-0.085,-0.988
41400370,-0.054,-0.085,-0.988
41400410,-0.054,-0.085,-0.988
41400450,-0.053,-0.085,-0.988
41400490,-0.054,-0.085,-0.988
41400530,-0.053,-0.085,-0.988
41400570,-0.054,-0.084,-0.988
41400600,-0.054,-0.085,-0.988
41400640,-0.054,-0.085,-0.988
41400680,-0.054,-0.085,-0.988
41400720,-0.054,-0.085,-0.988
41400760,-0.054,-0.086,-0.988
41400790,-0.054,-0.085,-0.988
41400830,-0.054,-0.085,-0.988
41400870,-0.054,-0.085,-0.988
41400910,-0.054,-0.085,-0.988
41400940,-0.054,-0.085,-0.988
41400980,-0.054,-0.085,-0.988
41401020,-0.054,-0.085,-0.988
41401060,-0.054,-0.085,-0.988
41401100,-0.054,-0.085,-0.988
41401140,-0.054,-0.085,-0.988
41401170,-0.055,-0.086,-0.988
41401210,-0.054,-0.085,-0.988
41401250,-0.054,-0.085,-0.988
41401290,-0.055,-0.086,-0.988
41401330,-0.054,-0.085,-0.988
41401360,-0.054,-0.086,-0.987
41401400,-0.054,-0.085,-0.988
41401440,-0.054,-0.085,-0.988
41401480,-0.054,-0.085,-0.988
41401510,-0.054,-0.085,-0.988
41401550,-0.054,-0.086,-0.988
41401590,-0.054,-0.086,-0.988
41401630,-0.054,-0.085,-0.988
41401670,-0.054,-0.085,-0.988
41401710,-0.054,-0.085,-0.988
41401750,-0.054,-0.085,-0.988
41401780,-0.054,-0.085,-0.988
41401820,-0.054,-0.085,-0.988
41401860,-0.054,-0.085,-0.988
41401900,-0.054,-0.085,-0.988
41401930,-0.054,-0.085,-0.988
41401970,-0.054,-0.085,-0.988
41402010,-0.054,-0.085,-0.988
41402050,-0.054,-0.085,-0.988
41402080,-0.054,-0.085,-0.988
41402120,-0.054,-0.085,-0.988
41402160,-0.054,-0.085,-0.988
41402200,-0.055,-0.085,-0.988
41402240,-0.055,-0.085,-0.988
41402280,-0.054,-0.084,-0.988
41402320,-0.054,-0.085,-0.988
41402350,-0.054,-0.085,-0.988
41402390,-0.054,-0.085,-0.988
41402430,-0.054,-0.085,-0.988
41402460,-0.054,-0.085,-0.988
41402500,-0.054,-0.085,-0.988
41402540,-0.054,-0.085,-0.988
41402580,-0.054,-0.085,-0.988
41402620,-0.054,-0.085,-0.988
41402660,-0.054,-0.085,-0.988
41402690,-0.054,-0.084,-0.988
41402730,-0.054,-0.084,-0.988
41402770,-0.055,-0.085,-0.988
41402810,-0.054,-0.085,-0.988
41402850,-0.054,-0.084,-0.988
41402880,-0.054,-0.084,-0.988
41402920,-0.054,-0.085,-0.988
41402960,-0.054,-0.085,-0.988
41403000,-0.054,-0.085,-0.988
41403030,-0.054,-0.084,-0.988
41403070,-0.054,-0.085,-0.988
41403110,-0.054,-0.084,-0.988
41403150,-0.054,-0.085,-0.988
41403190,-0.055,-0.085,-0.988
41403230,-0.054,-0.085,-0.988
41403260,-0.054,-0.085,-0.988
41403300,-0.054,-0.085,-0.988
41403340,-0.054,-0.085,-0.988
41403380,-0.054,-0.085,-0.988
41403420,-0.054,-0.084,-0.988
41403450,-0.054,-0.084,-0.988
41403490,-0.054,-0.085,-0.988
41403530,-0.054,-0.084,-0.988
41403570,-0.054,-0.085,-0.988
41403600,-0.054,-0.085,-0.988
41403640,-0.054,-0.085,-0.988
41403680,-0.055,-0.085,-0.988
41403720,-0.055,-0.085,-0.988
41403760,-0.054,-0.084,-0.988
41403800,-0.054,-0.085,-0.988
41403830,-0.054,-0.085,-0.988
