#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
632122975,-54,-132,-988,,,,,,,,,,0x07f,,,,,,,,,,,,,,,,,,,,,,,,,,
632162400,-58,-132,-992,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
632201915,-63,-135,-981,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
632241347,-57,-134,-979,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
632280864,-59,-140,-992,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
632320849,-58,-149,-996,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
632361165,-64,-135,-975,,,,,,,,,,0x02c,,,,,,,,,,,,,,,,,,,,,,,,,,
632400363,-51,-128,-991,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
632440112,-49,-126,-991,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
632479310,-62,-150,-980,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
632518835,-60,-148,-982,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
632559813,-51,-143,-989,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
632599482,-58,-137,-975,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
632638688,-65,-144,-982,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
632678429,-56,-142,-989,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
632717636,-53,-142,-996,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
632757376,-61,-146,-975,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
632796573,-63,-144,-984,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
632837651,-57,-146,-989,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
632877076,-62,-147,-986,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
632916600,-59,-141,-980,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
632956025,-66,-153,-985,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
632995541,-61,-148,-985,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
633034749,-58,-150,-990,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
633074488,-66,-146,-983,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
633115247,-66,-152,-979,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
633154991,-64,-155,-980,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
633194190,-64,-154,-984,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
633233713,-59,-146,-986,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
633273135,-72,-152,-975,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
633312651,-64,-151,-988,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
633353413,-55,-147,-990,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
633392368,-65,-153,-983,,,,,,,,,,0x00a,,,,,,,,,,,,,,,,,,,,,,,,,,
633432149,-70,-152,-983,,,,,,,,,,0x05c,,,,,,,,,,,,,,,,,,,,,,,,,,
633471892,-63,-152,-986,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
633511090,-64,-145,-983,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
633550615,-71,-154,-981,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
633591593,-60,-149,-988,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
633631264,-73,-155,-977,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
633670686,-64,-149,-981,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
633710203,-72,-152,-974,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
633749411,-65,-149,-991,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
633789150,-57,-147,-998,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
633828357,-75,-154,-977,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
633868097,-67,-142,-984,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
633908851,-76,-156,-975,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
633948376,-62,-148,-991,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
633987796,-65,-152,-983,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
634027321,-65,-149,-990,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
634066520,-69,-154,-978,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
634106255,-69,-146,-983,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
