#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
547789052,-3,-11,1006,,,,,,,,,,0x07f,,,,,,,,,,,,,,,,,,,,,,,,,,
547830028,-3,-11,1007,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
547869543,-3,-11,1005,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
547908974,-4,-11,1006,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
547948489,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
547987693,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
548027434,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
548066633,-4,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
548106379,-4,-11,1006,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
548147131,-3,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
548186809,-4,-11,1006,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
548226235,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
548266527,-3,-11,1006,,,,,,,,,,0x00a,,,,,,,,,,,,,,,,,,,,,,,,,,
548304983,-4,-11,1006,,,,,,,,,,0x07c,,,,,,,,,,,,,,,,,,,,,,,,,,
548344500,-3,-12,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
548385262,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
548425004,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
548464200,-4,-11,1005,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
548503724,-4,-11,1006,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
548543140,-4,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
548582665,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
548622088,-3,-12,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
548663158,-4,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
548702363,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
548742103,-4,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
548781309,-4,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
548821051,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
548860249,-3,-12,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
548899772,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
548941075,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
548980274,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
549019703,-4,-11,1006,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
549059219,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
