#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10386890651,112,11,1321,,,,,,,,,,0x07f,,,,,,,,,,,,,,,,,,,,,,,,,,
10386930176,140,72,1420,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10386971153,119,80,1251,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10387010672,100,62,1020,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10387049878,88,22,843,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10387089619,94,-6,730,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10387128825,79,-14,665,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10387169345,42,-62,678,,,,,,,,,,0x02a,,,,,,,,,,,,,,,,,,,,,,,,,,
10387209121,85,-98,917,,,,,,,,,,0x01c,,,,,,,,,,,,,,,,,,,,,,,,,,
10387248647,139,-29,1254,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10387288069,149,28,1415,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10387327586,151,76,1401,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10387367010,112,98,1164,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10387406528,87,51,903,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10387447290,90,15,762,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10387487030,107,-9,707,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10387526231,86,-30,660,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10387565911,50,-63,754,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
10387605336,101,-98,1123,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10387644859,193,71,1522,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10387685838,174,116,1532,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10387725355,152,91,1257,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10387764562,125,57,942,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10387804303,91,38,662,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10387843509,79,-48,540,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10387883251,111,-59,644,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10387924005,20,-75,752,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10387963529,73,-79,1058,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10388002953,121,71,1400,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10388042477,112,166,1468,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
