STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.016836000	  -0.030317000	   1.016870000	 227.500000000	-892.500000000	-350.000000000	
   0.004575000	  -0.028426000	   1.015284000	 192.500000000	-1146.250000000	-490.000000000	
  -0.000122000	  -0.037271000	   1.012356000	 175.000000000	-875.000000000	-385.000000000	
  -0.017080000	  -0.033489000	   1.010160000	 166.250000000	-840.000000000	-420.000000000	
   0.002257000	  -0.024156000	   1.016504000	 140.000000000	-1172.500000000	-481.250000000	
   0.002623000	  -0.037698000	   1.012661000	 131.250000000	-892.500000000	-472.500000000	
  -0.014945000	  -0.036783000	   1.009123000	 175.000000000	-787.500000000	-463.750000000	
  -0.007259000	  -0.024705000	   1.020652000	 166.250000000	-1085.000000000	-472.500000000	
   0.008052000	  -0.033367000	   1.010221000	  96.250000000	-945.000000000	-463.750000000	
  -0.008662000	  -0.039528000	   1.009550000	 227.500000000	-735.000000000	-393.750000000	
  -0.017751000	  -0.027206000	   1.014674000	 192.500000000	-1023.750000000	-463.750000000	
   0.008113000	  -0.031171000	   1.012905000	 113.750000000	-1093.750000000	-446.250000000	
  -0.002623000	  -0.038491000	   1.013698000	 131.250000000	-665.000000000	-420.000000000	
  -0.017141000	  -0.030683000	   1.010831000	 148.750000000	-866.250000000	-472.500000000	
   0.003416000	  -0.026718000	   1.018151000	 113.750000000	-1172.500000000	-420.000000000	
   0.000244000	  -0.037454000	   1.013149000	  96.250000000	-752.500000000	-385.000000000	
  -0.014701000	  -0.033733000	   1.007720000	 201.250000000	-831.250000000	-446.250000000	
  -0.003050000	  -0.027145000	   1.014674000	 140.000000000	-1093.750000000	-481.250000000	
   0.003294000	  -0.034587000	   1.018944000	 148.750000000	-883.750000000	-420.000000000	
  -0.012200000	  -0.037820000	   1.008330000	 262.500000000	-761.250000000	-428.750000000	
  -0.008113000	  -0.026047000	   1.019493000	 183.750000000	-1216.250000000	-490.000000000	
   0.006466000	  -0.032025000	   1.012295000	  26.250000000	-988.750000000	-437.500000000	
  -0.007869000	  -0.040321000	   1.006988000	 218.750000000	-770.000000000	-385.000000000	
  -0.011712000	  -0.028975000	   1.019554000	 253.750000000	-1085.000000000	-516.250000000	
   0.003721000	  -0.029951000	   1.011197000	 157.500000000	-1067.500000000	-446.250000000	
  -0.001708000	  -0.035868000	   1.011014000	 175.000000000	-752.500000000	-420.000000000	
  -0.015128000	  -0.032025000	   1.015406000	 218.750000000	-953.750000000	-516.250000000	
   0.002440000	  -0.031232000	   1.011563000	  96.250000000	-1067.500000000	-411.250000000	
  -0.001708000	  -0.033306000	   1.018273000	 183.750000000	-875.000000000	-332.500000000	
  -0.013969000	  -0.033794000	   1.008635000	 166.250000000	-822.500000000	-455.000000000	
  -0.000976000	  -0.028426000	   1.018639000	 105.000000000	-1015.000000000	-498.750000000	
   0.001037000	  -0.033611000	   1.006195000	  87.500000000	-918.750000000	-385.000000000	
  -0.012383000	  -0.033001000	   1.015772000	 236.250000000	-883.750000000	-411.250000000	
  -0.001403000	  -0.030622000	   1.013576000	 105.000000000	-980.000000000	-516.250000000	
  -0.000122000	  -0.031903000	   1.014796000	 175.000000000	-831.250000000	-446.250000000	
  -0.010553000	  -0.035807000	   1.011624000	 148.750000000	-840.000000000	-420.000000000	
  -0.005429000	  -0.030622000	   1.015772000	 183.750000000	-1006.250000000	-498.750000000	
   0.000244000	  -0.030195000	   1.012356000	 192.500000000	-953.750000000	-455.000000000	
  -0.006954000	  -0.035014000	   1.015406000	 148.750000000	-875.000000000	-411.250000000	
  -0.007747000	  -0.033489000	   1.011746000	 148.750000000	-953.750000000	-516.250000000	
  -0.001159000	  -0.030561000	   1.013881000	 157.500000000	-927.500000000	-402.500000000	
  -0.005124000	  -0.033184000	   1.012295000	 218.750000000	-910.000000000	-411.250000000	
  -0.008784000	  -0.033123000	   1.017236000	 122.500000000	-997.500000000	-455.000000000	
  -0.000305000	  -0.031720000	   1.009916000	 157.500000000	-927.500000000	-437.500000000	
  -0.006588000	  -0.031537000	   1.017053000	 218.750000000	-857.500000000	-367.500000000	
  -0.008906000	  -0.033611000	   1.007781000	 166.250000000	-936.250000000	-376.250000000	
  -0.000366000	  -0.032147000	   1.016199000	 166.250000000	-936.250000000	-437.500000000	
  -0.005612000	  -0.031537000	   1.014064000	 210.000000000	-953.750000000	-376.250000000	
  -0.005002000	  -0.032513000	   1.012905000	 157.500000000	-910.000000000	-437.500000000	
  -0.004697000	  -0.033977000	   1.014918000	 122.500000000	-980.000000000	-507.500000000	
  -0.005612000	  -0.030500000	   1.009916000	 122.500000000	-945.000000000	-498.750000000	
  -0.006222000	  -0.030866000	   1.015528000	 140.000000000	-883.750000000	-402.500000000	
  -0.000244000	  -0.034892000	   1.010282000	 183.750000000	-988.750000000	-463.750000000	
  -0.005795000	  -0.033489000	   1.012478000	 183.750000000	-883.750000000	-481.250000000	
  -0.010919000	  -0.030317000	   1.017724000	 166.250000000	-875.000000000	-332.500000000	
   0.001342000	  -0.030378000	   1.016138000	 148.750000000	-1050.000000000	-455.000000000	
  -0.000915000	  -0.035868000	   1.007354000	 157.500000000	-778.750000000	-525.000000000	
  -0.012444000	  -0.032513000	   1.016992000	 166.250000000	-883.750000000	-420.000000000	
  -0.003599000	  -0.030256000	   1.015162000	 105.000000000	-1032.500000000	-463.750000000	
   0.003477000	  -0.036478000	   1.008513000	 148.750000000	-875.000000000	-463.750000000	
  -0.010919000	  -0.032147000	   1.011929000	 245.000000000	-761.250000000	-367.500000000	
  -0.007808000	  -0.028426000	   1.017846000	 192.500000000	-1102.500000000	-472.500000000	
   0.003843000	  -0.035807000	   1.011624000	  52.500000000	-1006.250000000	-507.500000000	
  -0.008662000	  -0.034160000	   1.015955000	 183.750000000	-787.500000000	-428.750000000	
  -0.010187000	  -0.029402000	   1.009672000	 262.500000000	-997.500000000	-463.750000000	
   0.005368000	  -0.033184000	   1.018456000	 166.250000000	-1006.250000000	-516.250000000	
  -0.007198000	  -0.035624000	   1.009489000	 166.250000000	-813.750000000	-437.500000000	
  -0.012810000	  -0.029707000	   1.010038000	 157.500000000	-936.250000000	-420.000000000	
   0.002867000	  -0.030439000	   1.016931000	 131.250000000	-1085.000000000	-455.000000000	
  -0.002318000	  -0.037088000	   1.016077000	 166.250000000	-848.750000000	-420.000000000	
  -0.014579000	  -0.032208000	   1.008330000	 201.250000000	-866.250000000	-420.000000000	
  -0.001769000	  -0.024766000	   1.018883000	 157.500000000	-1225.000000000	-490.000000000	
   0.004392000	  -0.037759000	   1.010282000	  26.250000000	-857.500000000	-446.250000000	
  -0.014335000	  -0.036722000	   1.010221000	 201.250000000	-735.000000000	-402.500000000	
  -0.007320000	  -0.026840000	   1.019615000	 157.500000000	-1155.000000000	-472.500000000	
   0.005063000	  -0.033489000	   1.012356000	  26.250000000	-988.750000000	-463.750000000	
  -0.010248000	  -0.036783000	   1.010343000	  96.250000000	-700.000000000	-376.250000000	
  -0.010126000	  -0.026108000	   1.017541000	 140.000000000	-945.000000000	-446.250000000	
   0.006771000	  -0.031110000	   1.010770000	 148.750000000	-1006.250000000	-446.250000000	
  -0.007442000	  -0.037881000	   1.013637000	 175.000000000	-735.000000000	-411.250000000	
  -0.014518000	  -0.029829000	   1.013088000	 201.250000000	-918.750000000	-490.000000000	
   0.005612000	  -0.026718000	   1.014308000	  87.500000000	-1120.000000000	-490.000000000	
  -0.003538000	  -0.038430000	   1.011319000	 122.500000000	-813.750000000	-428.750000000	
  -0.015067000	  -0.032940000	   1.014064000	 201.250000000	-822.500000000	-463.750000000	
   0.001586000	  -0.026840000	   1.014979000	 148.750000000	-1146.250000000	-463.750000000	
   0.001281000	  -0.036295000	   1.011258000	  96.250000000	-910.000000000	-463.750000000	
  -0.015250000	  -0.033489000	   1.013881000	 148.750000000	-796.250000000	-428.750000000	
  -0.003233000	  -0.026291000	   1.018517000	 175.000000000	-1128.750000000	-446.250000000	
   0.004514000	  -0.035807000	   1.010953000	 175.000000000	-883.750000000	-385.000000000	
  -0.011956000	  -0.039406000	   1.011990000	 253.750000000	-813.750000000	-402.500000000	
  -0.010858000	  -0.025437000	   1.015589000	 201.250000000	-1067.500000000	-437.500000000	
   0.007564000	  -0.031659000	   1.009367000	  96.250000000	-980.000000000	-437.500000000	
  -0.006344000	  -0.040931000	   1.017114000	 148.750000000	-761.250000000	-385.000000000	
  -0.015067000	  -0.028731000	   1.014430000	 201.250000000	-1058.750000000	-516.250000000	
   0.002989000	  -0.026474000	   1.013515000	 210.000000000	-1067.500000000	-490.000000000	
   0.001403000	  -0.039345000	   1.012905000	 105.000000000	-761.250000000	-402.500000000	
  -0.015982000	  -0.032208000	   1.009611000	 201.250000000	-813.750000000	-472.500000000	
  -0.000976000	  -0.025925000	   1.015345000	 201.250000000	-1085.000000000	-490.000000000	
   0.001708000	  -0.035929000	   1.012051000	 131.250000000	-892.500000000	-420.000000000	
  -0.012017000	  -0.035868000	   1.013454000	 157.500000000	-735.000000000	-463.750000000	
  -0.006405000	  -0.029829000	   1.014125000	 131.250000000	-1085.000000000	-498.750000000	
   0.002135000	  -0.031476000	   1.010404000	 122.500000000	-971.250000000	-393.750000000	
  -0.011773000	  -0.035929000	   1.013698000	 192.500000000	-813.750000000	-385.000000000	
