STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.728340000	   0.148230000	   1.063413000	4252.500000000	-743.750000000	 411.250000000	
   0.386801000	   0.165188000	   1.112579000	  61.250000000	-10508.750000000	-7105.000000000	
   0.490318000	  -0.207522000	   0.928847000	-3535.000000000	3307.500000000	1723.750000000	
  -0.600484000	  -0.212402000	   0.940864000	1601.250000000	6973.750000000	5311.250000000	
  -0.234911000	   0.210328000	   1.153754000	2931.250000000	-9283.750000000	-5171.250000000	
   0.688568000	   0.079544000	   0.941535000	-1636.250000000	-4978.750000000	-3771.250000000	
  -0.000854000	  -0.409554000	   0.956297000	-3010.000000000	7717.500000000	5285.000000000	
  -0.759572000	   0.136701000	   1.038342000	4471.250000000	 210.000000000	 866.250000000	
   0.346236000	   0.168116000	   1.138626000	 140.000000000	-10876.250000000	-7148.750000000	
   0.531066000	  -0.179462000	   0.918172000	-3578.750000000	2695.000000000	1391.250000000	
  -0.558943000	  -0.245220000	   0.929091000	1566.250000000	7516.250000000	5521.250000000	
  -0.291397000	   0.210511000	   1.156072000	3036.250000000	-8855.000000000	-4838.750000000	
   0.684054000	   0.100345000	   0.944524000	-1295.000000000	-5696.250000000	-4261.250000000	
   0.048373000	  -0.409432000	   0.961055000	-3298.750000000	7603.750000000	5057.500000000	
  -0.784338000	   0.110288000	   1.036756000	4480.000000000	1295.000000000	1382.500000000	
   0.300608000	   0.178486000	   1.141554000	 428.750000000	-10998.750000000	-7253.750000000	
   0.570228000	  -0.151280000	   0.920551000	-3482.500000000	2117.500000000	 997.500000000	
  -0.515511000	  -0.277733000	   0.927810000	 980.000000000	7953.750000000	5687.500000000	
  -0.350079000	   0.217221000	   1.142774000	3342.500000000	-7910.000000000	-4480.000000000	
   0.676795000	   0.113155000	   0.967582000	-1242.500000000	-6370.000000000	-4620.000000000	
   0.096563000	  -0.405345000	   0.951905000	-3552.500000000	7437.500000000	4900.000000000	
  -0.802272000	   0.083265000	   1.028155000	4488.750000000	2108.750000000	1828.750000000	
   0.257054000	   0.183915000	   1.155767000	 761.250000000	-11270.000000000	-7341.250000000	
   0.603107000	  -0.123037000	   0.923906000	-3447.500000000	1303.750000000	 551.250000000	
  -0.464515000	  -0.310490000	   0.916464000	 481.250000000	8181.250000000	5880.000000000	
  -0.409310000	   0.224724000	   1.134234000	3675.000000000	-7673.750000000	-3972.500000000	
   0.663680000	   0.129076000	   0.977952000	-1190.000000000	-7035.000000000	-5092.500000000	
   0.146522000	  -0.390705000	   0.957212000	-3561.250000000	7280.000000000	4637.500000000	
  -0.817461000	   0.050874000	   1.022482000	4121.250000000	2878.750000000	2423.750000000	
   0.208742000	   0.185623000	   1.167113000	 980.000000000	-11453.750000000	-7271.250000000	
   0.637267000	  -0.095526000	   0.908290000	-3263.750000000	 656.250000000	  70.000000000	
  -0.410957000	  -0.342271000	   0.917257000	 -43.750000000	8470.000000000	5923.750000000	
  -0.469639000	   0.226737000	   1.132709000	4086.250000000	-6510.000000000	-3438.750000000	
   0.647149000	   0.141154000	   0.986248000	-1216.250000000	-7813.750000000	-5530.000000000	
   0.198128000	  -0.375699000	   0.969961000	-3237.500000000	7245.000000000	4322.500000000	
  -0.826123000	   0.015860000	   1.002474000	3368.750000000	3561.250000000	3053.750000000	
   0.158661000	   0.194834000	   1.184010000	1338.750000000	-11698.750000000	-7183.750000000	
