STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.005429000	  -0.031354000	   1.014857000	 157.500000000	-953.750000000	-481.250000000	
  -0.004697000	  -0.031903000	   1.013820000	 122.500000000	-988.750000000	-455.000000000	
  -0.004697000	  -0.032086000	   1.013454000	 157.500000000	-883.750000000	-446.250000000	
  -0.004392000	  -0.032086000	   1.012722000	 192.500000000	-822.500000000	-437.500000000	
  -0.004514000	  -0.032696000	   1.013332000	 175.000000000	-936.250000000	-428.750000000	
  -0.004636000	  -0.031964000	   1.014918000	 183.750000000	-997.500000000	-455.000000000	
  -0.004758000	  -0.032696000	   1.014491000	 175.000000000	-962.500000000	-446.250000000	
  -0.005124000	  -0.033611000	   1.013759000	 175.000000000	-988.750000000	-472.500000000	
  -0.004758000	  -0.032818000	   1.014308000	 175.000000000	-901.250000000	-463.750000000	
  -0.004270000	  -0.031781000	   1.012844000	 183.750000000	-918.750000000	-385.000000000	
  -0.004392000	  -0.031964000	   1.013698000	 175.000000000	-962.500000000	-463.750000000	
  -0.005490000	  -0.032208000	   1.011990000	 166.250000000	-927.500000000	-472.500000000	
  -0.005246000	  -0.031842000	   1.013149000	 183.750000000	-840.000000000	-428.750000000	
  -0.004087000	  -0.032452000	   1.013820000	 140.000000000	-936.250000000	-411.250000000	
  -0.004148000	  -0.032574000	   1.015650000	  96.250000000	-945.000000000	-411.250000000	
  -0.004819000	  -0.032147000	   1.014064000	 148.750000000	-971.250000000	-437.500000000	
  -0.004758000	  -0.031293000	   1.015650000	 122.500000000	-971.250000000	-446.250000000	
  -0.004941000	  -0.032696000	   1.012539000	 105.000000000	-910.000000000	-411.250000000	
  -0.004636000	  -0.032330000	   1.014369000	 105.000000000	-910.000000000	-428.750000000	
  -0.004941000	  -0.032208000	   1.012722000	 175.000000000	-971.250000000	-455.000000000	
  -0.004514000	  -0.031842000	   1.014735000	 166.250000000	-971.250000000	-446.250000000	
  -0.005490000	  -0.032147000	   1.013515000	 131.250000000	-1015.000000000	-472.500000000	
  -0.005612000	  -0.032208000	   1.016443000	 175.000000000	-936.250000000	-463.750000000	
  -0.004453000	  -0.032513000	   1.014430000	 166.250000000	-945.000000000	-455.000000000	
  -0.004941000	  -0.031720000	   1.015162000	 113.750000000	-997.500000000	-498.750000000	
  -0.004209000	  -0.031781000	   1.013149000	 131.250000000	-962.500000000	-437.500000000	
  -0.004697000	  -0.032208000	   1.012661000	 166.250000000	-945.000000000	-455.000000000	
  -0.005551000	  -0.032635000	   1.014491000	 175.000000000	-892.500000000	-437.500000000	
  -0.005002000	  -0.032574000	   1.012417000	 183.750000000	-892.500000000	-437.500000000	
  -0.005124000	  -0.031842000	   1.015772000	  96.250000000	-866.250000000	-393.750000000	
  -0.004270000	  -0.032452000	   1.014857000	 105.000000000	-910.000000000	-446.250000000	
  -0.003782000	  -0.031964000	   1.014796000	 175.000000000	-927.500000000	-455.000000000	
  -0.005002000	  -0.031964000	   1.014674000	 148.750000000	-927.500000000	-455.000000000	
  -0.005063000	  -0.032269000	   1.013881000	 113.750000000	-962.500000000	-455.000000000	
  -0.004331000	  -0.032086000	   1.014308000	 105.000000000	-971.250000000	-446.250000000	
  -0.004819000	  -0.032025000	   1.013698000	 157.500000000	-936.250000000	-463.750000000	
  -0.004758000	  -0.032452000	   1.013881000	 140.000000000	-971.250000000	-463.750000000	
  -0.004453000	  -0.031903000	   1.014796000	 122.500000000	-918.750000000	-420.000000000	
  -0.004941000	  -0.032147000	   1.014308000	  87.500000000	-866.250000000	-428.750000000	
  -0.004392000	  -0.032330000	   1.014613000	 122.500000000	-883.750000000	-455.000000000	
  -0.004270000	  -0.031537000	   1.014064000	 157.500000000	-918.750000000	-437.500000000	
  -0.004819000	  -0.031903000	   1.015528000	 166.250000000	-901.250000000	-472.500000000	
  -0.004514000	  -0.032208000	   1.012905000	 183.750000000	-875.000000000	-463.750000000	
  -0.004758000	  -0.032452000	   1.014552000	 148.750000000	-875.000000000	-472.500000000	
  -0.005490000	  -0.031964000	   1.012234000	 122.500000000	-936.250000000	-446.250000000	
  -0.004697000	  -0.031903000	   1.013759000	 157.500000000	-927.500000000	-446.250000000	
  -0.006100000	  -0.031781000	   1.015162000	 148.750000000	-910.000000000	-385.000000000	
  -0.005124000	  -0.031964000	   1.014430000	 157.500000000	-927.500000000	-463.750000000	
  -0.004819000	  -0.032574000	   1.014613000	 175.000000000	-927.500000000	-437.500000000	
  -0.004758000	  -0.032086000	   1.014247000	 148.750000000	-918.750000000	-446.250000000	
  -0.004819000	  -0.031720000	   1.014369000	 148.750000000	-892.500000000	-463.750000000	
  -0.004819000	  -0.032635000	   1.014247000	 105.000000000	-918.750000000	-446.250000000	
  -0.005612000	  -0.032391000	   1.015650000	 175.000000000	-927.500000000	-437.500000000	
  -0.003477000	  -0.032330000	   1.013881000	 113.750000000	-997.500000000	-411.250000000	
  -0.004758000	  -0.031781000	   1.014918000	 157.500000000	-945.000000000	-455.000000000	
  -0.004880000	  -0.032513000	   1.014613000	 166.250000000	-936.250000000	-481.250000000	
  -0.004636000	  -0.031659000	   1.014064000	 122.500000000	-962.500000000	-472.500000000	
  -0.004026000	  -0.031659000	   1.015040000	 148.750000000	-936.250000000	-498.750000000	
  -0.003843000	  -0.031232000	   1.014674000	 131.250000000	-918.750000000	-472.500000000	
  -0.004636000	  -0.031598000	   1.014369000	 201.250000000	-927.500000000	-490.000000000	
  -0.004514000	  -0.031781000	   1.014979000	 210.000000000	-918.750000000	-455.000000000	
  -0.003904000	  -0.032879000	   1.012722000	 210.000000000	-918.750000000	-428.750000000	
  -0.004087000	  -0.032147000	   1.015101000	 148.750000000	-927.500000000	-428.750000000	
  -0.003965000	  -0.032391000	   1.014918000	 183.750000000	-901.250000000	-437.500000000	
  -0.005063000	  -0.031293000	   1.014186000	 157.500000000	-918.750000000	-490.000000000	
  -0.005612000	  -0.031720000	   1.015162000	 140.000000000	-936.250000000	-498.750000000	
  -0.004331000	  -0.033184000	   1.015162000	  96.250000000	-875.000000000	-437.500000000	
  -0.005246000	  -0.032757000	   1.014613000	 183.750000000	-927.500000000	-498.750000000	
  -0.004514000	  -0.031415000	   1.014918000	 210.000000000	-901.250000000	-490.000000000	
  -0.004697000	  -0.032147000	   1.014491000	 227.500000000	-910.000000000	-446.250000000	
  -0.004758000	  -0.032452000	   1.014064000	 210.000000000	-962.500000000	-463.750000000	
  -0.004636000	  -0.032330000	   1.014247000	 201.250000000	-936.250000000	-446.250000000	
  -0.005002000	  -0.032513000	   1.013881000	 192.500000000	-1023.750000000	-420.000000000	
  -0.004636000	  -0.031659000	   1.014735000	 166.250000000	-962.500000000	-428.750000000	
  -0.004148000	  -0.031964000	   1.013759000	 157.500000000	-936.250000000	-472.500000000	
  -0.005124000	  -0.031842000	   1.015040000	 157.500000000	-927.500000000	-472.500000000	
  -0.005063000	  -0.031781000	   1.014064000	 113.750000000	-945.000000000	-455.000000000	
  -0.004819000	  -0.031598000	   1.015223000	 105.000000000	-883.750000000	-481.250000000	
  -0.004758000	  -0.032269000	   1.013271000	 131.250000000	-936.250000000	-463.750000000	
  -0.005002000	  -0.032086000	   1.015772000	 140.000000000	-866.250000000	-463.750000000	
  -0.004819000	  -0.031598000	   1.013942000	 157.500000000	-901.250000000	-455.000000000	
  -0.004392000	  -0.031903000	   1.014308000	 183.750000000	-901.250000000	-446.250000000	
  -0.005185000	  -0.032391000	   1.014552000	  87.500000000	-910.000000000	-455.000000000	
  -0.004270000	  -0.032696000	   1.015467000	 113.750000000	-918.750000000	-463.750000000	
  -0.005734000	  -0.031964000	   1.013881000	 131.250000000	-971.250000000	-437.500000000	
  -0.004514000	  -0.031598000	   1.014857000	 218.750000000	-892.500000000	-446.250000000	
  -0.003782000	  -0.032086000	   1.014186000	 183.750000000	-910.000000000	-498.750000000	
  -0.004331000	  -0.032025000	   1.014064000	 166.250000000	-866.250000000	-472.500000000	
  -0.004392000	  -0.031171000	   1.014796000	 157.500000000	-953.750000000	-463.750000000	
  -0.003965000	  -0.031781000	   1.014918000	 113.750000000	-936.250000000	-428.750000000	
  -0.005490000	  -0.032086000	   1.016138000	 131.250000000	-962.500000000	-446.250000000	
  -0.004758000	  -0.033001000	   1.014369000	 140.000000000	-927.500000000	-446.250000000	
  -0.005307000	  -0.032208000	   1.015955000	 166.250000000	-953.750000000	-437.500000000	
  -0.004331000	  -0.032757000	   1.013820000	 131.250000000	-936.250000000	-428.750000000	
  -0.004941000	  -0.032818000	   1.014369000	 218.750000000	-936.250000000	-455.000000000	
  -0.005124000	  -0.032147000	   1.013698000	 262.500000000	-910.000000000	-472.500000000	
  -0.004514000	  -0.031842000	   1.013759000	 201.250000000	-910.000000000	-490.000000000	
  -0.004575000	  -0.031781000	   1.014247000	 157.500000000	-936.250000000	-455.000000000	
  -0.005063000	  -0.031171000	   1.016870000	 227.500000000	-936.250000000	-481.250000000	
  -0.003965000	  -0.032086000	   1.015223000	 192.500000000	-901.250000000	-463.750000000	
  -0.003904000	  -0.032208000	   1.015162000	 131.250000000	-927.500000000	-490.000000000	
  -0.004575000	  -0.031293000	   1.015467000	 113.750000000	-997.500000000	-498.750000000	
  -0.005063000	  -0.032147000	   1.014796000	 131.250000000	-1006.250000000	-420.000000000	
  -0.004697000	  -0.031049000	   1.013942000	 148.750000000	-927.500000000	-446.250000000	
  -0.004209000	  -0.032269000	   1.014796000	 192.500000000	-971.250000000	-437.500000000	
  -0.004270000	  -0.032513000	   1.014308000	 201.250000000	-910.000000000	-472.500000000	
  -0.005490000	  -0.030988000	   1.014613000	 210.000000000	-883.750000000	-446.250000000	
  -0.004819000	  -0.031964000	   1.015589000	 166.250000000	-892.500000000	-481.250000000	
  -0.004636000	  -0.032208000	   1.014735000	 148.750000000	-918.750000000	-498.750000000	
  -0.005185000	  -0.031781000	   1.015833000	 140.000000000	-962.500000000	-455.000000000	
  -0.004697000	  -0.030744000	   1.012844000	 131.250000000	-971.250000000	-428.750000000	
  -0.005124000	  -0.031720000	   1.015101000	 157.500000000	-936.250000000	-446.250000000	
  -0.004575000	  -0.032025000	   1.014430000	 148.750000000	-1006.250000000	-490.000000000	
