@relation 'MLC'

@attribute F1_PeakToPeak_on_ACC_X numeric
@attribute class {fan_off, fan_on, fan_fault}

@data
0.00262451, fan_off
0.00250244, fan_off
0.00286865, fan_off
0.00189209, fan_off
0.00268555, fan_off
0.00305176, fan_off
0.00262451, fan_off
0.00213623, fan_off
0.00238037, fan_off
0.0022583, fan_off
0.00268555, fan_off
0.00231934, fan_off
0.00195313, fan_off
0.00244141, fan_off
0.00238037, fan_off
0.00250244, fan_off
0.00262451, fan_off
0.00183105, fan_off
0.00213623, fan_off
0.00213623, fan_off
0.00164795, fan_off
0.00195313, fan_off
0.00268555, fan_off
0.00298691, fan_off
0.00213623, fan_off
0.00231934, fan_off
0.0020752, fan_off
0.00238037, fan_off
0.00213623, fan_off
0.00238037, fan_off
0.0020752, fan_off
0.00189209, fan_off
0.0020752, fan_off
0.00231934, fan_off
0.00213623, fan_off
0.00213623, fan_off
0.00146484, fan_off
0.00268555, fan_off
0.00231934, fan_off
0.0020752, fan_off
0.00231934, fan_off
0.00262451, fan_off
0.00219727, fan_off
0.00274467, fan_off
0.00201416, fan_off
0.00250244, fan_off
0.00189209, fan_off
0.0022583, fan_off
0.0022583, fan_off
0.00244141, fan_off
0.00231934, fan_off
0.00286674, fan_off
0.00238037, fan_off
0.00311279, fan_off
0.00213623, fan_off
0.00201416, fan_off
0.0258636, fan_on
0.0242767, fan_on
0.0269623, fan_on
0.0271454, fan_on
0.0245819, fan_on
0.0261688, fan_on
0.0259247, fan_on
0.026474, fan_on
0.0284882, fan_on
0.0255585, fan_on
0.0274506, fan_on
0.0261688, fan_on
0.0260468, fan_on
0.0263519, fan_on
0.0261688, fan_on
0.0289764, fan_on
0.0241547, fan_on
0.0253754, fan_on
0.0258026, fan_on
0.0277557, fan_on
0.0280609, fan_on
0.0273895, fan_on
0.0267792, fan_on
0.0261078, fan_on
0.0252533, fan_on
0.0243378, fan_on
0.0290985, fan_on
0.0244598, fan_on
0.0256195, fan_on
0.0248871, fan_on
0.026474, fan_on
0.0270233, fan_on
0.0248871, fan_on
0.024765, fan_on
0.0252533, fan_on
0.0255585, fan_on
0.0262909, fan_on
0.0244598, fan_on
0.0273285, fan_on
0.0253143, fan_on
0.026535, fan_on
0.0263519, fan_on
0.0256805, fan_on
0.0252533, fan_on
0.0255585, fan_on
0.0246429, fan_on
0.0237274, fan_on
0.0255585, fan_on
0.0266571, fan_on
0.0275726, fan_on
0.0261688, fan_on
0.0238495, fan_on
0.0256805, fan_on
0.026474, fan_on
0.0249481, fan_on
0.0274506, fan_on
1.54199, fan_fault
1.51953, fan_fault
1.50879, fan_fault
1.51074, fan_fault
1.50488, fan_fault
1.49316, fan_fault
1.50098, fan_fault
1.50195, fan_fault
1.50293, fan_fault
1.49805, fan_fault
1.49512, fan_fault
1.49609, fan_fault
1.49805, fan_fault
1.47754, fan_fault
1.47363, fan_fault
1.48047, fan_fault
1.46973, fan_fault
1.46777, fan_fault
1.47656, fan_fault
1.47461, fan_fault
1.48145, fan_fault
1.47852, fan_fault
1.48926, fan_fault
1.47852, fan_fault
1.48242, fan_fault
1.47656, fan_fault
1.47559, fan_fault
1.47656, fan_fault
1.4873, fan_fault
1.45898, fan_fault
1.47656, fan_fault
1.48145, fan_fault
1.48145, fan_fault
1.47168, fan_fault
1.47656, fan_fault
1.4707, fan_fault
1.47168, fan_fault
1.47363, fan_fault
1.45996, fan_fault
1.46387, fan_fault
1.47656, fan_fault
1.4502, fan_fault
1.45117, fan_fault
1.47363, fan_fault
1.46582, fan_fault
1.49023, fan_fault
1.47656, fan_fault
