STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
12 	 -84 	 999 	58 	 24 	 -151 	
13 	 -86 	 1000 	61 	 27 	 -147 	
14 	 -85 	 999 	60 	 21 	 -150 	
15 	 -83 	 1004 	60 	 21 	 -150 	
11 	 -85 	 1000 	58 	 18 	 -151 	
13 	 -85 	 1001 	52 	 22 	 -159 	
12 	 -88 	 998 	60 	 19 	 -141 	
16 	 -82 	 1000 	63 	 19 	 -151 	
13 	 -87 	 999 	57 	 18 	 -156 	
12 	 -85 	 1000 	57 	 18 	 -156 	
13 	 -87 	 1000 	52 	 21 	 -159 	
16 	 -82 	 1000 	52 	 13 	 -150 	
14 	 -85 	 1001 	60 	 19 	 -151 	
16 	 -82 	 1002 	63 	 25 	 -151 	
14 	 -82 	 999 	63 	 25 	 -151 	
13 	 -83 	 1001 	55 	 16 	 -147 	
9 	 -86 	 1001 	52 	 28 	 -150 	
16 	 -86 	 999 	57 	 13 	 -151 	
14 	 -86 	 1001 	63 	 16 	 -150 	
15 	 -85 	 1001 	63 	 16 	 -150 	
12 	 -83 	 1001 	51 	 18 	 -147 	
11 	 -84 	 1002 	60 	 30 	 -156 	
11 	 -86 	 1002 	58 	 22 	 -160 	
14 	 -82 	 1000 	54 	 24 	 -148 	
10 	 -84 	 1001 	54 	 24 	 -148 	
14 	 -87 	 1002 	51 	 33 	 -150 	
13 	 -84 	 1002 	58 	 21 	 -156 	
15 	 -85 	 1001 	67 	 18 	 -145 	
15 	 -87 	 1002 	58 	 27 	 -153 	
16 	 -89 	 1000 	60 	 19 	 -154 	
14 	 -81 	 1001 	60 	 19 	 -154 	
11 	 -87 	 1001 	64 	 21 	 -150 	
14 	 -87 	 1004 	58 	 30 	 -153 	
17 	 -85 	 998 	58 	 18 	 -147 	
14 	 -79 	 1006 	60 	 22 	 -153 	
17 	 -88 	 1000 	60 	 22 	 -153 	
11 	 -83 	 1001 	57 	 24 	 -150 	
15 	 -84 	 1002 	60 	 24 	 -144 	
13 	 -86 	 1002 	57 	 21 	 -153 	
14 	 -86 	 1001 	64 	 13 	 -148 	
14 	 -85 	 1001 	64 	 13 	 -148 	
13 	 -86 	 1001 	58 	 15 	 -150 	
12 	 -85 	 1000 	51 	 19 	 -157 	
14 	 -82 	 1001 	54 	 31 	 -151 	
13 	 -88 	 1000 	63 	 25 	 -144 	
16 	 -86 	 1003 	63 	 25 	 -144 	
13 	 -89 	 1003 	60 	 19 	 -144 	
14 	 -86 	 1002 	67 	 19 	 -139 	
13 	 -84 	 1001 	52 	 16 	 -148 	
16 	 -86 	 1003 	52 	 19 	 -153 	
12 	 -87 	 1001 	57 	 25 	 -156 	
11 	 -83 	 1000 	57 	 25 	 -156 	
12 	 -88 	 1003 	61 	 21 	 -154 	
15 	 -86 	 1002 	49 	 21 	 -150 	
17 	 -83 	 1004 	64 	 24 	 -150 	
13 	 -84 	 1000 	52 	 13 	 -154 	
12 	 -85 	 1003 	52 	 13 	 -154 	
13 	 -88 	 1001 	58 	 25 	 -151 	
10 	 -82 	 1002 	57 	 19 	 -148 	
13 	 -85 	 999 	58 	 12 	 -153 	
14 	 -82 	 1001 	54 	 16 	 -151 	
12 	 -88 	 1001 	54 	 16 	 -151 	
14 	 -82 	 1002 	58 	 24 	 -153 	
15 	 -85 	 1000 	57 	 25 	 -153 	
12 	 -86 	 1001 	72 	 30 	 -150 	
13 	 -86 	 997 	58 	 24 	 -153 	
16 	 -79 	 1004 	58 	 24 	 -153 	
10 	 -87 	 1004 	55 	 25 	 -148 	
11 	 -83 	 1002 	60 	 24 	 -151 	
10 	 -84 	 1001 	63 	 18 	 -141 	
11 	 -83 	 1003 	63 	 28 	 -147 	
13 	 -91 	 1001 	58 	 21 	 -144 	
14 	 -82 	 1003 	58 	 21 	 -144 	
9 	 -84 	 998 	66 	 21 	 -151 	
13 	 -84 	 999 	67 	 28 	 -147 	
12 	 -85 	 1002 	55 	 30 	 -144 	
14 	 -84 	 1001 	58 	 31 	 -157 	
14 	 -83 	 1001 	58 	 31 	 -157 	
13 	 -88 	 1001 	60 	 24 	 -144 	
13 	 -80 	 1001 	55 	 19 	 -144 	
14 	 -85 	 1001 	54 	 22 	 -151 	
13 	 -85 	 1001 	52 	 21 	 -151 	
10 	 -88 	 1000 	52 	 21 	 -151 	
13 	 -83 	 1001 	61 	 16 	 -159 	
16 	 -85 	 1002 	48 	 27 	 -142 	
12 	 -83 	 1000 	52 	 21 	 -154 	
14 	 -82 	 1001 	58 	 19 	 -157 	
14 	 -85 	 999 	58 	 19 	 -157 	
9 	 -88 	 1001 	51 	 12 	 -147 	
14 	 -83 	 1003 	51 	 27 	 -151 	
13 	 -87 	 1001 	54 	 15 	 -159 	
11 	 -85 	 1001 	61 	 24 	 -138 	
12 	 -85 	 1002 	54 	 27 	 -145 	
12 	 -86 	 1000 	54 	 27 	 -145 	
12 	 -82 	 1000 	58 	 27 	 -156 	
9 	 -86 	 1002 	61 	 25 	 -165 	
12 	 -86 	 1001 	48 	 22 	 -145 	
17 	 -82 	 1001 	75 	 18 	 -154 	
14 	 -85 	 1002 	75 	 18 	 -154 	
17 	 -84 	 1001 	49 	 22 	 -156 	
16 	 -84 	 1001 	60 	 22 	 -144 	
13 	 -88 	 1002 	51 	 22 	 -151 	
16 	 -84 	 1003 	57 	 18 	 -150 	
16 	 -84 	 1000 	57 	 18 	 -150 	
12 	 -88 	 1000 	58 	 24 	 -144 	
14 	 -85 	 1004 	58 	 28 	 -157 	
13 	 -84 	 1000 	58 	 30 	 -150 	
8 	 -85 	 1003 	67 	 19 	 -156 	
16 	 -67 	 1008 	67 	 19 	 -156 	
-20 	 -4 	 1054 	60 	 31 	 -144 	
42 	 -57 	 1014 	55 	 24 	 -157 	
0 	 -5 	 903 	54 	 43 	 -148 	
130 	 3 	 1047 	51 	 51 	 -154 	
108 	 28 	 1005 	48 	 40 	 -138 	
