STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-8 	 10 	 1005 	118 	 -393 	 -204 	
-7 	 10 	 1003 	193 	 -411 	 -217 	
-5 	 7 	 1005 	316 	 -397 	 -243 	
-5 	 9 	 1007 	316 	 -397 	 -243 	
-2 	 11 	 1003 	471 	 -346 	 -324 	
-5 	 7 	 1003 	643 	 -220 	 -465 	
-11 	 163 	 1135 	889 	 48 	 -781 	
1 	 -58 	 1124 	952 	 480 	 -1212 	
58 	 -5 	 944 	952 	 480 	 -1212 	
-32 	 -14 	 1065 	865 	 901 	 -1893 	
-5 	 7 	 1018 	675 	 958 	 -2781 	
-3 	 25 	 943 	414 	 180 	 -3706 	
-4 	 23 	 977 	271 	 -1228 	 -3028 	
-6 	 12 	 1003 	271 	 -1228 	 -3028 	
-6 	 11 	 1006 	303 	 -1413 	 -1254 	
-9 	 10 	 1006 	205 	 -831 	 -409 	
-7 	 9 	 1007 	103 	 -492 	 -199 	
-7 	 11 	 1004 	45 	 -339 	 -145 	
-3 	 9 	 1006 	45 	 -339 	 -145 	
-4 	 6 	 1004 	10 	 -289 	 -148 	
-3 	 10 	 1002 	6 	 -270 	 -163 	
-4 	 8 	 1005 	30 	 -249 	 -172 	
-6 	 12 	 1004 	76 	 -237 	 -202 	
-6 	 7 	 1006 	138 	 -204 	 -273 	
-8 	 8 	 1006 	138 	 -204 	 -273 	
-6 	 8 	 1007 	198 	 -126 	 -385 	
-4 	 10 	 1006 	210 	 -33 	 -640 	
-7 	 9 	 1005 	100 	 0 	 -909 	
0 	 6 	 1008 	-48 	 -199 	 -1041 	
-3 	 13 	 1004 	-48 	 -199 	 -1041 	
-7 	 8 	 1005 	-79 	 -483 	 -897 	
-4 	 11 	 1002 	-7 	 -583 	 -570 	
-6 	 11 	 1005 	27 	 -499 	 -313 	
-7 	 7 	 1004 	-3 	 -394 	 -187 	
-4 	 11 	 1003 	-3 	 -394 	 -187 	
-6 	 10 	 1004 	-16 	 -306 	 -144 	
-7 	 10 	 1003 	-30 	 -289 	 -154 	
-4 	 9 	 1003 	-42 	 -268 	 -151 	
-3 	 9 	 1003 	-24 	 -265 	 -148 	
-7 	 10 	 1004 	-24 	 -265 	 -148 	
-2 	 12 	 1000 	3 	 -268 	 -159 	
-5 	 8 	 1002 	49 	 -274 	 -186 	
-6 	 8 	 1004 	159 	 -277 	 -238 	
-6 	 10 	 1002 	322 	 -243 	 -402 	
-4 	 12 	 1001 	499 	 -144 	 -759 	
-5 	 12 	 1005 	499 	 -144 	 -759 	
-2 	 13 	 1002 	447 	 -48 	 -1222 	
-3 	 6 	 1005 	310 	 -238 	 -1498 	
0 	 12 	 1004 	181 	 -540 	 -1362 	
-1 	 12 	 1008 	153 	 -762 	 -951 	
-6 	 10 	 1005 	153 	 -762 	 -951 	
-4 	 11 	 1005 	153 	 -760 	 -517 	
-2 	 7 	 1007 	99 	 -622 	 -240 	
-5 	 12 	 1006 	58 	 -469 	 -121 	
-4 	 9 	 1002 	28 	 -390 	 -97 	
-4 	 10 	 1005 	28 	 -390 	 -97 	
-2 	 7 	 1002 	12 	 -343 	 -94 	
-5 	 9 	 1003 	28 	 -316 	 -96 	
-4 	 11 	 1003 	67 	 -318 	 -99 	
-2 	 8 	 1004 	175 	 -339 	 -126 	
-6 	 11 	 1006 	559 	 -348 	 -196 	
-4 	 10 	 1004 	397 	 -348 	 -196 	
677 	 666 	 -198 	744 	 -264 	 -465 	
-86 	 -166 	 1237 	1096 	 -112 	 -1099 	
5 	 32 	 912 	1141 	 -87 	 -1815 	
-82 	 27 	 1003 	1023 	 -639 	 -2167 	
3 	 -2 	 1011 	1023 	 -639 	 -2167 	
-3 	 9 	 1002 	754 	 -1258 	 -1552 	
-5 	 11 	 1005 	391 	 -1131 	 -513 	
-3 	 9 	 1005 	129 	 -648 	 -115 	
-7 	 9 	 1005 	-6 	 -387 	 -103 	
-7 	 6 	 1006 	-6 	 -387 	 -103 	
-4 	 12 	 1006 	-37 	 -298 	 -123 	
-4 	 10 	 1004 	-57 	 -250 	 -127 	
-8 	 8 	 1005 	-64 	 -247 	 -141 	
-4 	 8 	 1006 	-58 	 -225 	 -136 	
-4 	 10 	 1007 	-58 	 -225 	 -136 	
-4 	 8 	 1005 	-57 	 -240 	 -154 	
-6 	 10 	 1005 	-46 	 -255 	 -144 	
-2 	 9 	 1004 	9 	 -270 	 -132 	
-4 	 8 	 1003 	123 	 -324 	 -156 	
-1 	 8 	 1008 	280 	 -382 	 -217 	
-5 	 5 	 1009 	280 	 -382 	 -217 	
-3 	 9 	 1005 	363 	 -393 	 -310 	
-5 	 11 	 1006 	334 	 -393 	 -397 	
-6 	 8 	 1009 	228 	 -414 	 -327 	
-3 	 12 	 1005 	105 	 -348 	 -187 	
-4 	 10 	 1005 	105 	 -348 	 -187 	
-5 	 9 	 1003 	25 	 -283 	 -151 	
-6 	 10 	 1004 	-24 	 -258 	 -141 	
-4 	 9 	 1006 	-34 	 -231 	 -148 	
-6 	 8 	 1007 	-37 	 -228 	 -153 	
-6 	 9 	 1003 	-37 	 -228 	 -153 	
-6 	 7 	 1005 	-52 	 -217 	 -156 	
1 	 8 	 1003 	-25 	 -219 	 -150 	
-5 	 10 	 1004 	15 	 -244 	 -153 	
