A_X [mg],A_Y [mg],A_Z [mg],G_X [dps],G_Y [dps],G_Z [dps]
-490.013,-34.709,1297.23,-12.495,19.6613,-12.1975
-44.896,-90.341,1212.74,-6.7025,-12.5738,-3.52625
25.559,231.678,966.545,17.2463,-5.03125,-9.09125
102.663,24.583,736.331,7.385,2.9225,-17.57
-452.864,293.898,1110.44,1.18125,3.8325,-16.9575
20.679,-81.923,1029.56,-13.1688,-17.185,-13.9213
129.625,210.694,862.723,2.0125,-5.81,-12.6438
-176.412,76.738,917.318,-4.62875,7.69125,-21.805
37.759,62.586,1115.2,-24.115,-2.905,-14.7875
5.246,1224.15,1583.13,5.97625,3.01875,-18.13
1391.71,1997.69,-291.946,116.935,20.6413,85.3825
938.18,1069.15,535.763,-144.165,185.08,226.266
145.424,-1234.76,1953.4,-230.248,30.2838,-166.145
588.04,561.139,265.411,156.258,190.986,-286.685
-73.749,-1688.36,-398.513,204.374,257.749,-286.685
-951.966,-675.087,124.867,82.1713,286.099,-278.635
-1820.24,-750.483,1742.89,-33.0138,155.4,-164.806
-547.78,3.66,289.506,35.2713,-122.299,-8.63625
80.093,15.311,-59.292,28.945,-115.64,-4.59375
-1114.84,-679.296,1094.16,-45.395,-96.425,-121.17
-1375.37,-71.675,1230.49,-73.2988,-235.848,-127.085
-683.322,-91.5,1156.25,-0.28,-244.528,-4.55
728.767,-914.939,1513.29,-19.2938,-156.126,-16.0213
-85.461,-196.115,1452.65,75.7663,-17.1325,-29.82
-595.665,489.952,781.776,110.451,14.6738,-12.2763
-460.855,293.166,726.815,55.7988,-12.67,-1.53125
-281.393,527.528,593.469,46.6113,-53.5763,-0.1225
54.168,661.789,820.755,9.61625,-47.4425,10.5613
555.405,105.347,778.421,-14.2625,-17.6925,18.1825
279.624,-172.386,1107.27,-31.1063,14.9363,7.7
-197.213,-261.69,1029.01,-6.76375,43.4175,1.995
-541.924,-130.174,977.403,-0.56875,19.7838,-6.2825
-270.779,-217.465,1227.87,-13.4838,-35.8838,1.00625
211.365,-55.022,1171.44,-1.51375,-25.0688,8.05
98.21,-109.312,833.016,18.41,31.0888,2.86125
-268.705,90.097,830.698,10.7013,20.3263,-2.58125
-528.077,-483.73,1469.12,-37.8963,14.5513,-0.65625
189.527,-561.139,858.941,-4.12125,-1.6275,4.27875
-643.489,-184.586,900.482,28.035,23.6863,-7.7875
-12.81,-404.43,972.767,-4.50625,-18.515,-4.83
-89.487,-427.244,1061.95,12.0838,-13.3,-11.9
-88.145,-243.573,975.512,15.2688,-13.9738,-14.5513
41.968,-421.571,932.751,3.70125,-15.8638,-14.945
-139.446,-436.76,1128.13,2.905,-2.905,-10.9725
-366.305,-397.354,984.357,13.2125,2.065,-6.23875
-91.134,-521.123,750.178,6.1775,-11.5413,0.84
-34.404,-824.354,1173.03,-11.4188,-4.095,7.805
-524.417,-554.307,1266.3,15.5575,-1.16375,6.6325
340.319,-828.502,844.24,8.8025,-28.9188,11.8563
-49.227,-600.362,1018.15,23.7213,-1.72375,2.5375
289.079,-697.901,1018.52,7.56,-27.265,-3.5
-155.55,-336.11,1092.33,27.4225,-3.75375,-13.0375
559.065,-720.227,458.476,3.3775,-15.7238,-12.5125
-338.184,-633.851,803.065,3.85,35.2275,-14.5688
-697.718,-537.776,1268.92,-19.9675,6.44,-2.30125
213.622,-1289.85,1339.32,-32.3925,-26.9325,8.7675
-227.103,-675.575,1534.03,22.7588,-6.055,4.2175
369.294,-476.166,834.48,32.8475,-14.21,8.95125
-47.275,417.85,493.368,56.0438,17.9725,4.24375
-161.04,451.766,547.78,18.935,1.435,-6.16875
80.825,-45.689,1176.75,-45.0713,-17.4038,-0.28875
190.564,146.705,983.869,-6.99125,9.1,-2.89625
-490.013,-34.709,1297.23,-12.495,19.6613,-12.1975
-44.896,-90.341,1212.74,-6.7025,-12.5738,-3.52625
25.559,231.678,966.545,17.2463,-5.03125,-9.09125
102.663,24.583,736.331,7.385,2.9225,-17.57
-452.864,293.898,1110.44,1.18125,3.8325,-16.9575
20.679,-81.923,1029.56,-13.1688,-17.185,-13.9213
129.625,210.694,862.723,2.0125,-5.81,-12.6438
-176.412,76.738,917.318,-4.62875,7.69125,-21.805
37.759,62.586,1115.2,-24.115,-2.905,-14.7875
5.246,1224.15,1583.13,5.97625,3.01875,-18.13
1391.71,1997.69,-291.946,116.935,20.6413,85.3825
938.18,1069.15,535.763,-144.165,185.08,226.266
145.424,-1234.76,1953.4,-230.248,30.2838,-166.145
588.04,561.139,265.411,156.258,190.986,-286.685
-73.749,-1688.36,-398.513,204.374,257.749,-286.685
-951.966,-675.087,124.867,82.1713,286.099,-278.635
-1820.24,-750.483,1742.89,-33.0138,155.4,-164.806
-547.78,3.66,289.506,35.2713,-122.299,-8.63625
80.093,15.311,-59.292,28.945,-115.64,-4.59375
-1114.84,-679.296,1094.16,-45.395,-96.425,-121.17
-1375.37,-71.675,1230.49,-73.2988,-235.848,-127.085
-683.322,-91.5,1156.25,-0.28,-244.528,-4.55
728.767,-914.939,1513.29,-19.2938,-156.126,-16.0213
-85.461,-196.115,1452.65,75.7663,-17.1325,-29.82
