A_X [mg],A_Y [mg],A_Z [mg],G_X [dps],G_Y [dps],G_Z [dps]
200.202,-52.216,961.787,5.45125,-16.9663,0.35875
205.021,-53.619,970.876,3.98125,-16.6425,-0.04375
205.57,-53.375,991.311,2.65125,-16.4588,-0.53375
204.96,-60.39,1005.4,2.61625,-16.5375,-0.7525
227.774,-57.523,995.52,3.5,-15.995,-0.28875
234.118,-59.414,998.753,4.43625,-14.3238,0.28875
224.48,-50.874,978.257,5.38125,-12.8975,0.53375
237.29,-48.129,960.811,5.005,-12.3025,0.77875
248.514,-54.473,967.582,4.33125,-11.0513,0.76125
256.871,-52.765,958.249,3.68375,-9.7825,0.42
246.867,-52.277,965.203,2.73,-8.60125,-0.035
246.623,-49.227,952.454,2.1,-7.6475,-0.4025
251.93,-53.192,962.092,0.8925,-6.895,-0.6475
244.122,-45.384,962.519,0.25375,-5.81,-1.09375
230.336,-43.371,980.27,-0.79625,-5.25875,-1.6275
222.467,-49.105,998.265,-1.1025,-4.9525,-1.96
195.871,-58.255,1009.86,-0.5775,-4.75125,-1.7675
205.204,-59.78,1028.28,0.21,-5.4425,-0.90125
199.653,-43.127,1014.98,1.6975,-5.145,-0.4025
213.378,-35.136,1014.55,1.89,-5.5125,0.13125
200.385,-40.626,1007.29,2.275,-5.5125,0.0525
226.493,-49.349,992.47,2.42375,-6.6675,0.35875
242.17,-47.275,983.503,2.38875,-6.37,0.18375
234.301,-42.273,978.867,2.10875,-5.88,-0.09625
237.168,-46.055,978.684,1.54,-6.29125,-0.46375
222.955,-51.606,989.42,1.25125,-6.18625,-0.7875
214.659,-54.778,1001.13,1.3125,-6.30875,-0.6125
213.378,-50.081,1007.05,1.7675,-6.5625,-0.2975
213.927,-48.129,1008.33,2.16125,-6.79,0.11375
227.835,-47.519,998.204,2.6775,-7.09625,0.51625
250.466,-39.101,983.564,2.98375,-7,0.8925
265.899,-41.541,971.364,2.61625,-6.32625,0.6475
268.339,-45.506,965.691,1.89,-5.39875,0.1225
272.487,-50.935,959.713,1.3125,-4.6025,-0.2975
267.485,-49.532,964.105,0.88375,-3.5525,-0.5075
262.849,-48.19,969.656,0.5425,-2.5025,-0.56875
246.867,-49.959,980.27,0.4375,-1.505,-0.595
241.377,-55.632,986.797,0.385,-1.085,-0.44625
234.606,-50.691,991.433,0.4375,-0.8225,-0.4725
226.493,-46.482,996.313,0.525,-0.875,-0.3325
