A_X [mg],A_Y [mg],A_Z [mg],G_X [dps],G_Y [dps],G_Z [dps]
-87.291,-84.729,1017.05,0.56875,-0.02625,-0.0175
-86.437,-84.119,1012.48,0.81375,0.07875,0.02625
-86.193,-80.825,1005.71,0.91,0.035,0.00875
-85.644,-81.252,1007.66,0.67375,-0.0175,0.06125
-88.877,-84.546,1016.14,0.46375,0.02625,0.0175
-91.561,-88.206,1023.21,0.63,0.04375,-0.04375
-92.903,-85.888,1017.24,0.97125,0.00875,-0.02625
-92.72,-80.703,1011.01,0.9975,-0.02625,-0.02625
-91.134,-81.008,1012.84,0.735,-0.07,-0.00875
-87.413,-84.729,1021.08,0.41125,-0.0525,0.04375
-84.302,-85.095,1020.35,0.53375,-0.035,0.02625
-82.716,-79.788,1011.07,0.81375,0,-0.04375
-86.742,-73.688,1001.74,0.76125,0.0875,-0.0525
-89.731,-75.884,1007.23,0.3675,0.02625,-0.04375
-90.219,-82.411,1017.85,0.23625,-0.0525,0.0175
-90.585,-86.986,1023.88,0.6125,-0.02625,0.04375
-90.036,-84.851,1014.31,1.12875,0.07,0.0525
-88.633,-80.093,1005.77,1.1725,0.0175,0.0525
-86.193,-81.191,1004.18,0.69125,-0.07875,-0.00875
-86.315,-87.962,1016.38,0.25375,-0.1575,-0.06125
-86.62,-91.195,1021.44,0.42,-0.13125,-0.035
-86.62,-84.912,1011.44,0.98,0.00875,-0.00875
-86.925,-74.176,1000.16,0.97125,0.035,0
-86.986,-73.383,1005.46,0.42,-0.0525,0.02625
-87.901,-82.533,1026.08,0.0175,-0.0875,0.0175
-90.707,-87.169,1033.89,0.48125,0.07,-0.0175
-92.537,-81.13,1018.58,1.21625,0.16625,-0.04375
-92.415,-74.115,1001.44,1.23375,0.175,-0.06125
-91.866,-78.507,1007.17,0.49875,0.00875,-0.00875
-89.67,-91.988,1025.11,0.13125,-0.09625,-0.00875
-87.84,-94.428,1026.02,0.665,-0.06125,0.00875
-84.485,-84.241,1007.35,1.26875,0.04375,0
-83.875,-78.629,994.056,1.0325,-0.00875,0.02625
-86.193,-82.777,1004.61,0.32375,-0.1225,0.0175
-87.291,-90.707,1022.66,0.1575,-0.16625,0.02625
-87.779,-87.718,1026.02,0.6825,-0.00875,0.0175
-90.829,-78.507,1013.33,1.155,0.07875,-0.0175
-91.317,-74.42,1006.62,0.91,0.07875,-0.00875
-91.195,-78.568,1013.94,0.385,0.02625,0.00875
-89.609,-82.289,1023.15,0.35,-0.04375,0.035
-87.352,-81.313,1018.82,0.65625,-0.0175,0.00875
-88.389,-77.409,1009.18,0.91,0.0875,-0.035
-90.89,-79.605,1007.6,0.76125,0.0525,0
-91.5,-84.302,1011.56,0.56875,-0.0175,-0.02625
-92.415,-88.45,1018.15,0.56875,-0.07875,-0.0525
-90.158,-89.67,1019.92,0.67375,-0.0875,0.00875
-89.06,-88.938,1020.41,0.7525,-0.0525,0
-87.596,-87.535,1016.2,0.79625,-0.02625,0
-83.692,-85.034,1011.5,0.72625,-0.02625,-0.0175
-84.424,-82.777,1011.56,0.63875,0,-0.00875
-86.01,-81.13,1012.17,0.58625,0.02625,-0.02625
-87.657,-78.507,1011.81,0.67375,0.0525,0.0175
-89.67,-76.311,1010.1,0.7175,0.06125,0.0175
-89.243,-76.128,1010.04,0.6475,0.06125,0.00875
-91.195,-79.666,1014.25,0.60375,0.00875,0.00875
-92.415,-82.716,1016.87,0.6475,-0.02625,-0.0175
-91.439,-84.18,1019.68,0.7875,-0.035,-0.0175
-91.561,-84.485,1016.26,0.7875,-0.0875,-0.06125
-88.206,-86.437,1015.77,0.7,-0.04375,-0.0175
-86.498,-87.84,1016.08,0.63875,-0.04375,0.00875
-84.302,-87.596,1014.37,0.63875,-0.06125,-0.00875
-83.753,-85.156,1013.27,0.595,0,-0.00875
-84.851,-83.265,1011.75,0.595,0.0525,-0.04375
-86.559,-83.204,1010.83,0.63,0.09625,-0.0175
-90.036,-80.093,1010.4,0.72625,0.105,0.00875
-92.781,-78.812,1013.51,0.70875,0.0875,0
-91.256,-80.886,1016.38,0.6125,0,0.035
-91.927,-82.472,1019,0.65625,-0.00875,0.02625
-91.805,-82.35,1016.99,0.79625,0,-0.035
-89.975,-78.446,1009.92,0.84875,0,-0.07
-86.559,-80.154,1007.9,0.6125,-0.105,-0.06125
-87.169,-83.631,1012.23,0.48125,-0.07,-0.0175
-87.901,-84.607,1014.8,0.595,-0.035,0.035
-86.559,-83.875,1013.21,0.805,0.035,0.0175
-87.413,-83.692,1012.23,0.70875,0.00875,0.0175
-90.219,-84.851,1017.24,0.55125,0.0525,-0.00875
-91.317,-86.376,1020.04,0.56,0.07,-0.04375
-91.805,-84.851,1018.46,0.7,0.04375,-0.035
-91.073,-83.57,1015.59,0.72625,0.0525,0
-88.877,-82.228,1010.4,0.70875,0.0175,0.035
-84.912,-81.496,1009,0.665,-0.02625,0
-83.875,-80.947,1010.04,0.69125,-0.07875,0.0175
-83.875,-81.984,1012.48,0.6825,-0.04375,-0.0525
-87.84,-82.533,1011.38,0.81375,0.02625,-0.105
-93.086,-80.337,1007.66,0.84875,0.0175,-0.02625
-90.463,-78.568,1009.67,0.5775,-0.0875,0.04375
-86.254,-83.692,1020.53,0.30625,-0.09625,0.105
-88.877,-87.901,1026.02,0.4725,0.04375,0.02625
-91.439,-84.424,1018.21,0.93625,0.13125,0.00875
-89.67,-76.616,1006.74,0.98875,0,-0.00875
-89.609,-79.117,1009.67,0.44625,-0.035,-0.035
-89.853,-88.023,1023.76,0.13125,-0.09625,0
-85.644,-90.158,1022.85,0.63875,-0.04375,-0.02625
-84.607,-81.801,1003.75,1.28625,0.035,0.0175
-85.095,-73.505,994.788,1.015,0.04375,-0.02625
-88.389,-81.191,1010.22,0.245,-0.11375,-0.0175
-91.317,-94.794,1032.79,0.1575,-0.14,-0.0175
-91.134,-91.744,1027.73,1.02375,0.0525,0.035
-90.036,-79.117,1004.61,1.5225,0.1575,0.0175
-89.121,-74.603,999.607,0.805,0.06125,0.0175
-89.182,-85.827,1021.87,-0.0875,-0.105,-0.035
-89.548,-92.781,1035.6,0.28,-0.035,-0.0525
-88.755,-81.374,1016.93,1.2075,0.14875,-0.06125
-87.291,-66.673,994.849,1.14625,0.11375,-0.02625
-85.705,-71.614,999.607,0.18375,-0.06125,-0.00875
-86.254,-87.413,1024.49,-0.1925,-0.14,-0.0175
-88.084,-90.768,1029.86,0.5775,0,-0.0175
-87.718,-80.398,1007.66,1.47,0.14875,-0.035
-92.232,-76.25,999.912,1.12,0.07,-0.02625
-91.134,-86.437,1016.75,0.21875,-0.11375,0
-86.803,-98.576,1029.92,0.2275,-0.14,0
-85.034,-93.757,1020.29,1.0325,0.07,-0.0175
-84.973,-79.117,997.289,1.35625,0.1575,-0.0175
-86.986,-74.603,996.557,0.7,0.04375,0
-90.707,-83.021,1016.26,0.06125,-0.07875,-0.02625
-91.378,-86.742,1026.69,0.39375,-0.0875,0
-90.402,-77.531,1016.32,1.05875,0,0.0175
-88.389,-70.272,1004.91,0.91875,0.035,0.04375
-90.463,-76.738,1013.45,0.30625,-0.06125,-0.0175
-90.707,-85.461,1028.95,0.1925,-0.0525,-0.07
-90.463,-87.596,1027.06,0.74375,0.035,-0.07875
-88.511,-80.093,1008.63,1.21625,0.1225,-0.07875
-87.84,-78.812,999.729,0.90125,0.06125,-0.00875
-85.766,-86.742,1008.82,0.3675,-0.07,0.0525
-84.302,-93.818,1017.11,0.3675,-0.07,0.0525
-86.742,-91.683,1016.14,0.84,-0.00875,-0.0175
-89.792,-84.241,1006.62,1.07625,0.04375,-0.04375
-90.097,-80.154,1006.32,0.7525,0,-0.035
-90.707,-82.899,1018.7,0.3675,-0.0525,-0.00875
-91.439,-85.095,1026.39,0.53375,-0.07,0.02625
-90.89,-80.886,1020.47,0.91,0.035,0.00875
-88.267,-74.969,1010.04,0.9275,0.07,-0.00875
-88.267,-74.237,1010.22,0.63875,0.0175,-0.02625
-89.304,-80.276,1016.87,0.4025,0.04375,-0.06125
-88.328,-83.204,1018.39,0.60375,0.035,-0.0175
-86.986,-79.666,1008.63,1.00625,0.06125,-0.04375
-86.254,-77.531,1000.7,0.90125,0.0175,-0.0175
-87.291,-83.997,1009.61,0.44625,-0.13125,0.02625
-89.06,-90.341,1021.02,0.34125,-0.14,0.02625
-91.317,-92.537,1022.05,0.74375,-0.07,-0.06125
-89.304,-86.254,1014.43,1.0325,0,-0.06125
-89.365,-83.57,1010.1,0.74375,0.00875,-0.00875
-89.121,-86.681,1018.94,0.3675,-0.0175,0
-87.718,-87.047,1024.13,0.49,-0.0175,0.02625
-87.23,-80.459,1015.77,0.91,0.035,0.00875
-87.779,-73.871,1006.68,0.945,0.1225,0.00875
-88.694,-75.152,1007.35,0.56875,0.06125,0
-89.792,-80.337,1015.22,0.42875,-0.00875,0.00875
-89.975,-81.008,1014.19,0.76125,0.00875,0.0175
-89.609,-77.775,1009.06,1.00625,0.02625,0.00875
-90.585,-78.568,1009,0.67375,-0.06125,0.0175
-89.365,-87.718,1018.52,0.385,-0.105,0.02625
-90.097,-91.683,1023.95,0.56875,-0.04375,-0.0175
-91.073,-87.718,1016.26,0.90125,0.00875,-0.04375
-90.219,-83.021,1010.47,0.7525,0.0175,0
-87.291,-85.705,1016.38,0.4025,-0.02625,-0.00875
-85.278,-90.036,1019.74,0.53375,0.02625,0.02625
-85.156,-82.777,1011.07,0.98,0.09625,0.00875
-85.156,-75.396,1001.25,1.02375,0.07,-0.00875
-86.498,-77.165,1006.19,0.51625,-0.00875,-0.0175
-91.744,-84.546,1017.97,0.37625,-0.04375,-0.0175
-91.866,-83.997,1019.07,0.805,-0.02625,-0.00875
-92.049,-76.555,1009.25,1.085,-0.00875,-0.0175
-91.561,-74.847,1006.74,0.735,-0.06125,0
-89.914,-83.57,1019.98,0.23625,-0.09625,0.02625
-86.559,-89.487,1027.97,0.385,-0.07,0.0175
-85.4,-84.79,1017.54,0.9275,0.0525,-0.02625
-86.498,-78.995,1005.28,1.015,0.11375,-0.06125
-87.413,-80.032,1005.4,0.53375,0.06125,-0.04375
-86.864,-88.023,1017.97,0.27125,-0.04375,0.02625
-85.522,-89.914,1018.88,0.62125,0.0525,0.0175
-88.328,-82.716,1008.45,1.12,0.11375,-0.06125
-90.585,-77.531,1001.74,0.98875,0.09625,-0.035
-93.818,-81.374,1010.1,0.5075,-0.04375,-0.035
-92.049,-86.498,1023.52,0.3675,-0.14875,-0.0175
-90.707,-87.047,1024.56,0.72625,-0.09625,0
