@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_V numeric
@attribute F4_VAR_on_ACC_X numeric
@attribute F5_VAR_on_ACC_Y numeric
@attribute F6_VAR_on_ACC_V numeric
@attribute F7_ENERGY_on_ACC_X numeric
@attribute F8_ENERGY_on_ACC_Y numeric
@attribute F9_ENERGY_on_ACC_V numeric
@attribute F10_PeakToPeak_on_ACC_X numeric
@attribute F11_PeakToPeak_on_ACC_Y numeric
@attribute F12_PeakToPeak_on_ACC_V numeric
@attribute class {stationary, motion, jackup, crash}

@data
-0.088623, -0.0828857, 1.01855, 0, 7.62939e-06, 0.00976563, 0.815918, 0.714844, 108.813, 0.010376, 0.0281372, 0.0419922, stationary
-0.0888672, -0.0827637, 1.0166, 0, 3.43323e-05, 0.0126953, 0.818359, 0.71582, 108.75, 0.0119019, 0.0283203, 0.0351563, stationary
-0.088623, -0.0827637, 1.01758, 7.62939e-06, 1.14441e-05, 0.0126953, 0.816895, 0.713379, 108.938, 0.00927734, 0.0161743, 0.0302734, stationary
-0.0886841, -0.0831299, 1.01563, 0, 0, 0.0175781, 0.817383, 0.718262, 109.063, 0.00946045, 0.0123291, 0.0214844, stationary
-0.0887451, -0.0827637, 1.0166, 0, 4.19617e-05, 0.015625, 0.817383, 0.716309, 109.063, 0.00964355, 0.0106201, 0.0166016, stationary
-0.088623, -0.0830078, 1.0166, 1.52588e-05, 0, 0.0136719, 0.817383, 0.715332, 108.813, 0.00775146, 0.0109863, 0.0224609, stationary
-0.088623, -0.0827026, 1.01465, 0, 7.62939e-06, 0.0195313, 0.814941, 0.711914, 109, 0.0098877, 0.0159912, 0.0332031, stationary
-0.0883179, -0.0827637, 1.0166, 0, 0, 0.015625, 0.811035, 0.710938, 109, 0.00775146, 0.0129395, 0.0195313, stationary
-0.0884399, -0.0825806, 1.01953, 7.62939e-06, 1.14441e-05, 0.00878906, 0.813477, 0.709961, 108.938, 0.00854492, 0.0167236, 0.0273438, stationary
-0.0878906, -0.0821533, 1.00684, 4.57764e-05, 5.34058e-05, 0.0263672, 0.807617, 0.707031, 108.063, 0.0930176, 0.0899048, 1.03516, stationary
