# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
70.00004,973.3189,57.90422
77.368675,975.3043,65.67238
82.50963,987.7097,55.9975
75.4042,1008.9764,67.89528
69.945694,1007.0929,60.245934
90.25453,1003.4273,63.83752
73.081215,987.707,66.84731
84.482376,994.6158,69.292656
83.270935,992.06726,69.59941
77.40482,991.0396,73.686935
71.41394,992.034,85.8581
77.06996,982.4913,66.18797
86.199005,992.5911,65.50645
82.45788,991.3098,67.36163
80.62366,987.3169,58.30712
85.1463,989.2637,70.86776
71.82615,996.45135,67.69912
71.33738,996.0506,76.55213
82.14695,981.8673,59.72431
81.885735,967.9152,63.43306
91.76609,992.34125,67.71827
77.23652,997.2306,64.49203
78.87187,995.2972,57.822643
84.03098,982.14575,73.117065
85.15744,981.8286,70.25051
95.718765,997.49005,52.973503
87.00151,1004.6416,61.265957
78.99202,1015.09515,53.132614
82.92609,983.4211,57.804047
86.715,976.8499,58.805912
88.61372,987.38727,62.62641
78.12286,1007.1447,49.493404
91.81344,999.48346,63.508713
89.68278,1000.72217,62.628242
83.5974,981.46655,60.96508
95.27609,982.31793,56.39902
86.00134,986.1004,75.61334
90.60379,989.7406,73.47343
89.19992,990.8969,60.152485
90.960365,1009.18317,59.625587
92.26737,979.0904,64.136154
95.19327,978.8943,65.84298
103.06719,989.8029,74.45992
93.69768,992.2799,63.068817
84.56934,999.8781,59.606136
86.41628,1001.1188,61.25623
86.3104,992.7061,69.5666
92.350975,1003.6425,63.266987
96.39486,982.9197,64.98567
100.31619,977.0517,73.341255
96.43429,988.6001,44.42488
93.14954,1000.34,55.943336
98.334885,1011.1569,56.223785
94.66476,985.8195,53.34021
100.05687,987.4206,60.233276
92.08093,995.0939,59.54439
85.66661,991.8157,67.085846
101.82089,997.16095,50.81787
99.52264,991.0096,71.5878
104.341774,981.46356,46.077404
92.24926,993.72437,63.265526
88.16035,980.4223,52.73742
94.42636,985.7564,72.610535
97.25474,987.03394,69.00516
94.23399,985.80225,60.44198
87.30256,990.0572,52.37023
101.63876,999.9477,61.86774
100.848236,1015.5716,52.844982
99.94465,1000.53107,54.623608
99.30664,986.27545,75.152374
102.761604,982.1246,56.686466
98.93474,986.19037,59.675846
104.20532,992.1408,53.423378
96.1672,994.5614,56.933105
98.39096,998.7947,56.28952
97.56061,995.7842,55.526592
97.85429,987.76263,66.354996
98.82763,979.9929,60.625305
98.81795,989.2,53.61236
102.29638,1000.03687,59.032944
101.870865,1000.4949,59.16119
99.64974,998.1899,54.743526
101.16333,992.26013,57.38807
99.68979,988.4059,44.904705
107.82814,984.94977,57.87658
99.1792,987.6319,73.91298
106.351265,987.1937,60.236458
104.06772,990.71655,63.20501
98.957016,993.9686,50.154408
102.69193,1003.7818,58.204086
100.57421,985.309,56.796375
100.713036,993.8498,54.914135
99.6572,986.45776,53.38836
100.11394,990.9416,50.427677
95.922134,977.38116,65.50855
100.62289,995.2093,41.331963
96.21246,994.42004,57.943443
101.0956,993.5265,55.611732
94.82017,987.6631,61.56048
109.857216,993.88715,62.989113
101.189964,987.7782,57.229633
100.99908,998.36224,45.304806
97.25249,986.7153,53.181576
97.47069,993.2632,62.369118
95.434616,993.13916,59.15385
104.325134,993.03516,48.056187
93.020424,991.4962,60.720085
94.67171,987.7809,45.890163
97.65722,992.34485,55.349567
103.06743,1000.92926,69.343544
112.16232,995.5627,64.7803
103.394005,991.7375,54.286037
99.5346,991.7503,60.33911
104.2702,995.9033,68.95751
102.389694,983.76416,57.88859
105.95923,998.1777,65.475685
96.26982,991.76,51.465256
95.359116,990.72296,45.257477
103.738335,995.05396,64.25205
93.31065,983.33075,50.376934
96.82202,991.4918,48.41101
105.17916,993.0426,57.68376
100.72725,994.2329,50.044945
106.091095,993.28595,52.94729
100.09829,989.37756,58.043537
103.380455,991.1035,58.818287
94.041084,985.34186,46.991455
93.97098,989.5258,52.543518
102.579216,992.3086,60.334724
101.40624,992.3599,53.42175
97.27709,997.10425,64.290794
101.61576,990.80316,67.887596
97.66451,992.7477,59.876896
95.39812,983.3418,58.701157
101.453766,989.89557,56.753067
102.85132,995.66846,59.040806
102.238174,992.9099,58.202717
102.46572,985.3942,47.39161
99.00694,991.9545,64.433105
101.154854,980.6642,57.96
105.086205,1002.20996,54.553577
95.011314,995.58563,34.609142
95.16188,986.7364,52.38305
100.33961,987.6875,60.285313
98.28651,983.8388,65.10477
104.92452,993.2451,60.415157
102.064606,995.6998,54.868137
102.0986,987.5875,55.507626
96.78093,999.83813,53.910114
98.50608,992.1554,57.918045
103.7477,991.5242,51.892693
98.58353,990.2252,67.71351
99.17792,992.3656,48.91736
105.73469,992.3978,57.27219
99.60079,997.9268,56.985962
103.39447,992.7478,53.272385
104.86941,990.1161,61.642395
101.4244,996.5718,54.803493
99.67368,993.42334,68.37653
100.47792,991.76166,67.135056
103.58827,985.86865,54.911644
106.94279,995.4845,46.815197
97.59457,989.6187,54.30037
103.861015,994.10406,57.85177
95.77065,991.70795,48.96712
94.49775,998.70135,60.408073
105.428474,992.4807,57.96381
91.2467,983.2137,54.1206
100.578514,995.685,52.3619
104.04507,990.3487,54.195194
101.6371,992.33636,58.465214
103.61888,986.1784,55.507847
93.35795,995.4682,50.84966
96.3427,990.51514,60.537964
111.81091,995.4755,58.926826
97.998695,991.6309,53.44342
94.030655,983.5854,52.212082
104.80519,984.7381,63.11862
115.173874,995.20245,59.715504
94.04705,990.8906,55.619545
97.30802,998.59015,53.51053
91.23617,982.4114,50.367535
103.46274,993.4907,57.618793
103.06278,993.98175,49.90295
96.53228,991.9533,56.522476
100.373,991.06573,67.14779
97.905716,989.9659,58.345005
107.55871,993.70654,73.103874
107.16473,994.16284,69.51695
104.581276,997.93744,52.76511
97.932976,996.4669,56.46465
95.486565,985.92944,42.917004
102.32387,989.1193,66.07748
107.03187,989.84375,51.638947
101.29137,991.24615,55.05362
104.11516,989.5221,48.32933
102.16324,993.00616,53.55656
101.35947,988.5773,59.133907
90.55114,983.3507,64.828926
99.36847,991.5699,59.334354
94.72092,990.8977,58.423973
102.56339,993.7045,50.150284
103.00154,994.8881,67.05137
100.7944,991.24786,59.233223
101.74266,988.6276,53.73821
97.24972,987.78564,52.660564
96.005325,983.60315,65.78388
99.94546,995.43866,58.038162
95.50728,996.61707,51.654903
94.70266,990.63617,59.69321
103.931076,992.11505,52.736805
101.69916,990.66205,66.731346
103.69323,988.6714,63.014084
101.75472,991.14087,61.122395
103.76645,998.854,54.40267
97.05608,988.94946,58.972763
92.744774,998.32086,60.11875
99.75683,984.96655,66.07354
100.7096,985.3794,66.99226
106.13493,989.00446,62.998943
101.230316,992.11035,40.711582
105.48592,997.3433,51.328938
107.35104,997.66815,62.0108
99.73041,987.1217,46.49258
104.92372,996.0803,63.789314
102.207375,990.05096,65.64702
103.738686,983.90283,59.49154
105.94531,995.8071,55.47245
97.091324,995.9396,47.921986
91.601585,983.4073,62.629593
104.23616,989.7776,55.962852
97.298164,986.503,57.73226
99.472565,991.71124,56.445393
111.337074,993.5991,64.26661
105.55375,997.6988,48.98159
100.04407,982.60675,56.19324
107.292366,992.0404,53.679695
106.481834,986.74304,60.76126
101.52133,993.1195,59.143585
96.34135,995.8288,51.484688
96.252106,994.02374,42.514362
100.636894,993.3123,67.14847
93.72845,989.31824,46.53616
102.11185,993.05835,63.08715
106.06582,993.4783,65.33147
105.92879,981.8387,64.09996
96.73693,991.3798,49.84372
101.10854,996.2668,61.80952
95.63794,989.93634,54.33679
94.035645,989.6071,57.841705
99.36164,997.2662,55.17846
97.46517,988.2592,63.385353
101.48544,989.5321,50.6814
98.26811,988.39825,61.891518
97.83538,988.63007,53.30105
108.55131,997.19586,66.92449
108.55863,997.0442,63.857502
98.65741,991.3338,60.980816
104.55433,997.98724,52.266766
105.6588,1003.77454,65.910805
91.99448,998.7696,61.469013
99.35298,991.63684,59.77588
99.99056,986.4552,50.365
98.48636,987.23883,59.914165
97.02568,999.3048,58.75696
95.71935,994.3574,49.395184
102.56332,989.6891,73.0203
98.20853,985.99207,66.51381
107.4761,994.1688,62.817017
98.53989,995.18304,63.109467
107.53855,988.3737,68.15679
107.34698,999.163,57.254963
96.77152,987.6001,54.807156
95.94649,988.0127,61.811863
102.81695,984.62976,47.9694
100.43559,993.81134,60.040634
102.609024,997.80304,49.91594
100.90838,997.8429,57.663395
101.34834,994.34424,58.637283
98.42786,1001.8048,53.562016
106.78884,994.3803,57.350746
96.61589,987.6782,54.08576
95.02388,988.0797,57.294277
102.50521,986.8781,58.27556
100.854546,995.6826,50.50442
102.550674,990.3662,55.86123
102.55314,987.9758,66.28025
100.262665,995.35394,43.104588
98.33648,992.9362,50.788868
102.18188,989.4929,48.473186
106.515976,1002.69006,44.010723
103.294365,994.1644,61.034172
104.01286,986.6247,59.68337
95.99795,979.10315,59.142757
101.863075,994.4928,58.610466
105.8645,1000.94525,52.61681
103.18139,987.3187,51.629795
103.0659,999.1571,52.680744
101.956985,995.8783,55.322327
98.189354,986.7602,60.905495
95.94243,986.01056,60.017998
95.310135,987.2842,56.715034
98.501625,1000.13806,45.81679
109.32268,999.1632,51.981506
104.8383,987.7109,55.113663
98.200584,988.25476,69.16219
103.18387,990.53455,50.112938
99.77844,988.5135,62.898468
99.069664,1000.423,60.89794
106.505104,998.9769,60.335808
107.6128,993.3155,65.89454
103.36065,991.99994,57.136726
104.30417,986.16815,56.18416
107.73998,991.3567,63.082264
100.538345,991.40875,53.986168
95.797516,990.12665,66.35255
98.39912,991.88153,57.12631
98.21848,989.6606,64.433815
97.292015,980.1231,65.49972
96.74061,989.6527,46.66243
107.72473,991.58026,47.758186
107.923454,986.5101,57.71856
103.23083,993.23865,63.06243
98.413605,989.9435,48.958584
91.736244,993.4037,51.194653
96.036026,991.0394,60.657967
94.02054,986.347,68.62004
103.47388,993.03827,59.231644
101.29523,991.5531,42.68307
102.984245,988.68414,81.5866
101.3612,995.65155,62.533806
101.060295,995.46405,64.48549
91.87754,982.04407,55.601784
103.95352,991.4784,51.481956
97.62748,999.21576,59.063736
93.73658,989.9556,58.078297
101.37487,992.75555,60.737717
101.700096,992.5495,49.52914
107.397675,990.60925,60.566658
99.59024,995.2103,58.27239
99.66686,1001.04987,60.94606
98.50295,986.5055,53.687874
97.97172,983.27954,56.329044
98.542206,989.1033,62.332474
112.06673,1004.4585,53.28119
104.43448,994.95404,47.742435
105.09503,989.7738,54.53929
102.88545,990.62866,48.382103
