# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-576.969,43.94314,100.924866
-829.1345,443.9126,198.80075
-1492.4127,603.11,481.26978
-1964.1351,1120.8783,604.4722
-1542.1086,459.74948,160.84843
-1392.2946,552.25397,336.1795
-1280.7662,1246.2411,736.08563
-1225.1234,780.9071,741.1151
-1128.1752,671.97565,569.75574
-1212.5361,892.51733,586.018
-1308.2471,827.0722,778.8054
-1545.0834,1058.0255,601.1673
-1589.4523,598.3168,305.09845
-1482.7206,638.0112,458.2065
-1402.7473,758.5814,255.3721
-1153.5898,378.9298,171.37743
-829.0346,385.83267,87.11689
-597.3357,427.80734,26.258564
-491.41055,229.32027,102.7442
-396.04233,381.64993,111.72128
-245.795,121.09564,-17.663992
-229.36208,347.464,149.07047
-28.299444,76.199295,3.338863
70.591934,243.05237,220.75351
71.22141,-28.936604,28.921553
189.57085,1337.5604,1295.7766
52.07788,2356.0906,1284.5178
495.00952,-393.47675,525.184
416.10226,702.7341,912.1512
-875.09607,974.3032,1029.0624
-2094.4119,1401.7697,143.06296
-974.8346,550.03705,-247.17148
-344.381,-210.39557,-235.38774
-111.35081,-871.78766,-213.54688
-521.6402,2601.643,1267.8622
401.6883,997.56024,479.44284
-606.12134,941.1569,488.26
-810.85223,1547.7616,256.53305
-658.0277,986.7327,137.52263
-53.242294,-686.9849,-161.76459
-800.5528,428.01974,387.86334
-455.8788,235.19006,64.92479
-711.22076,342.8088,360.78232
-647.07837,371.22296,186.62614
-1201.489,350.98117,250.1154
-2373.3328,1224.9319,566.47125
-2275.277,1058.8419,610.0237
-1900.582,340.44452,683.2723
-1361.1348,1114.9236,730.38184
-1415.1696,687.6937,491.86856
-1606.1366,708.95245,274.3943
-1368.9308,670.1257,114.686356
-1124.6824,656.60596,92.53525
-861.28326,950.39905,177.80663
-741.6624,536.05884,-88.7182
-439.07242,87.47292,-171.06566
-467.80402,145.64218,1.7045426
-42.209255,-190.94478,-242.77567
-4.598194,70.2585,-13.491271
359.04684,-350.4196,-20.449045
172.46883,-126.849365,-173.28668
300.7027,46.601067,54.97694
-280.7917,2938.436,1449.4102
-208.17664,928.0247,375.5049
-439.11697,595.00714,563.29614
-727.62115,957.11115,619.996
-1172.1343,973.7427,689.2953
-1127.7926,512.98645,271.62943
-988.7583,767.6679,580.1932
-756.98773,782.9209,322.3921
-359.73077,717.5187,578.9956
-180.30252,739.93115,223.13998
-90.0064,484.2828,359.42587
-281.32657,723.294,387.28232
-349.18143,877.0927,510.41412
-176.86923,966.055,174.62717
1.1956058,247.14732,348.40573
-193.8294,934.1153,552.86383
368.18375,405.1764,541.1328
5.077049,877.56946,635.0023
-433.24783,861.4715,481.34937
-880.6107,846.71747,391.29364
-2734.5442,974.6604,578.5433
-3515.4941,363.52692,458.9124
-1907.9579,238.08076,720.9174
-1465.7993,726.6615,840.4806
-1100.4735,1058.0468,367.40894
-1220.1012,620.27606,123.637505
-864.669,836.939,55.28789
-545.97125,514.4937,107.470375
-298.30045,274.42633,70.487724
-261.3248,72.88284,-159.23389
-125.191,304.16116,23.260487
-86.525246,-62.880802,-119.18557
38.144787,134.55756,-50.766933
176.39015,-160.67412,15.88096
321.96155,351.21423,242.67392
316.5893,-610.6233,-51.549786
141.45091,2941.5085,2376.519
408.44016,1672.8354,723.66815
-132.77847,-361.5186,335.9005
-706.5033,1492.4355,568.5793
-617.2085,584.5273,761.76654
-1233.1511,1216.4391,627.66327
-1007.37256,410.9641,417.61682
-1083.4421,848.91895,228.30212
-303.68164,-163.77794,-341.5183
-71.1653,-162.79047,-144.59155
-156.58081,-503.97238,-321.68414
-462.93036,40.398384,86.96037
-705.41095,216.44608,87.45832
-1806.2593,717.37476,716.41724
-2531.214,925.52954,647.9518
-1942.9121,1048.7529,340.09073
-1616.2668,501.99738,643.176
-1401.8457,1109.6196,814.6431
-1231.9866,512.4412,757.65906
-1417.6865,727.9704,806.1585
-1775.1251,432.01102,694.51306
-1589.6361,162.86595,240.54767
-1335.205,532.55005,393.48752
-1546.6915,702.4866,388.0901
-1484.3989,488.5643,154.38
-1210.2216,626.26117,-27.591574
-920.51965,486.62964,15.709853
-777.299,354.3721,188.06923
-454.69424,307.9441,98.66457
-406.9117,312.37677,99.88072
-152.75526,299.80466,55.64456
-113.85555,202.43466,85.54066
-1.1960644,181.98322,108.81783
67.42647,235.97032,99.26049
144.51076,220.56566,87.99248
-43.76652,199.60045,60.415104
167.39864,924.1104,1226.583
-14.404904,1987.1698,1484.1814
234.48792,386.67435,663.0122
-1081.0747,1285.8358,959.7327
-1742.8325,1320.2999,608.7337
-1496.7584,314.22214,-228.30301
-1123.9968,199.23184,203.79955
-556.97437,2129.9026,1419.5183
847.8792,674.9929,271.2015
850.68964,-74.40868,462.05356
56.442253,1813.7224,1162.2144
54.05351,615.1858,557.72186
-357.25455,100.45696,-94.51265
278.38147,-773.5828,-373.91367
-191.6754,1159.072,866.7188
259.93567,877.7681,493.33826
-262.69986,-157.81445,41.553005
-1273.5176,843.20935,254.30199
-1703.3107,1085.0763,476.57498
-2244.0166,1211.0452,617.905
-2588.5562,23.626291,383.6839
-1865.581,374.081,530.8296
-1590.1055,382.98257,942.4403
-1334.2009,659.63684,668.3547
-1147.6449,553.97205,356.8404
-1128.532,562.11597,332.03897
-832.9343,795.4162,173.89969
-762.32446,776.23645,90.47997
-536.8553,436.79358,-10.001891
-515.4516,626.84534,134.44662
-298.70874,190.25677,-86.97549
-195.5474,312.1439,17.451305
-54.899986,-26.614876,45.147987
33.4891,394.36826,91.899704
189.06244,-81.6137,124.2962
70.758354,203.845,-3.0586126
230.74693,-818.3369,-50.36958
-221.63043,3785.3347,1790.3324
202.93182,1391.8654,455.43622
-29.313507,100.863716,783.3967
-746.16943,1325.7584,572.798
-1182.5575,306.93103,351.80075
-1211.4894,1008.97656,225.36714
-679.1675,401.7158,437.58435
-647.09717,1250.2484,571.6035
-217.70833,223.5267,163.11038
-341.61758,1108.0374,393.97736
-244.13243,698.4295,125.282906
-140.64188,699.43304,261.92407
103.52509,1067.0393,560.46454
213.87106,636.6048,344.60876
402.99362,589.0647,366.7292
218.33737,840.5452,565.33704
98.286224,892.11224,570.7716
-48.76862,470.07968,309.63382
92.97231,417.09082,418.61618
-145.10146,748.3832,774.6155
-697.4563,1150.5881,892.2028
-2832.8906,1013.612,624.4036
-3467.3606,1286.3568,42.36784
-1931.2015,141.65599,82.97972
-1136.8375,1101.5037,740.1121
-1001.1679,900.6913,365.5797
-830.5833,527.5491,184.84125
-757.8319,340.4791,65.70388
-614.1915,555.72546,291.96057
-488.02188,192.6305,-62.96093
-272.3149,388.26636,240.26173
-185.27875,294.17484,-18.744637
46.944344,236.58192,79.70848
144.8672,-92.90932,-45.49222
349.96915,174.93338,174.70367
173.52452,-264.23727,-79.10639
346.4841,1092.0,889.3852
13.381101,2801.7656,1207.3463
-242.18196,-233.42499,295.86432
-477.6117,1139.1006,591.4425
-797.0826,487.86642,306.62845
-1223.0206,958.0648,837.9547
-885.819,802.0276,448.9858
-792.8271,812.8498,325.05588
-529.46735,281.46484,203.091
-432.5753,871.1028,450.38614
-186.33807,401.8786,163.37717
-346.6373,988.0757,627.897
-520.90576,825.896,235.94014
-549.79895,696.8713,348.694
-180.85698,475.9388,208.39395
-22.579939,645.6836,664.3114
-168.473,942.59283,595.3861
-258.50806,438.80228,602.3276
81.20071,387.26007,867.2764
87.80178,-367.41467,662.7537
-1576.027,-238.3364,230.58685
-4842.912,1203.273,403.73697
-2460.3066,37.3681,-44.178898
-1272.8528,1187.346,434.3105
-1189.0006,862.1426,635.4629
-899.4327,201.11938,127.21993
-996.2637,744.6428,110.138535
-936.6659,597.34845,116.59769
-644.7157,922.70245,147.466
-495.2403,390.91965,98.26426
-395.69675,451.11838,195.33449
-310.62756,357.23856,-151.18254
-315.9665,460.54358,122.32915
-128.95224,-28.612808,-12.236575
122.31418,336.81833,54.69503
-57.709255,-183.44514,-224.14856
26.1474,480.2328,660.71704
-362.4829,-278.5606,46.87777
-1136.9254,1152.6172,705.92395
-519.4667,3068.7002,874.3513
-918.7585,-1443.8185,-179.27783
-1958.5247,1151.4464,678.42706
-1569.4794,513.4332,101.85068
-1355.5155,674.4188,272.51672
-1060.482,252.85678,99.74135
-532.80255,600.8658,435.3876
-506.95996,276.62115,504.94507
-610.2315,547.6009,549.5947
-704.14374,294.74234,148.6199
-734.51624,602.4121,361.22156
-657.2321,237.935,324.17252
-737.0795,440.99225,418.34525
-866.27374,257.00964,219.9749
-1605.5663,617.7731,386.95297
-1498.9067,829.8184,188.96414
-1460.1608,1113.7664,664.83093
-1444.4576,874.73883,750.76337
-1414.2787,1427.1444,627.1913
-1450.5574,755.383,621.3795
-1356.0383,1106.8201,764.57336
-1184.1954,816.9038,325.23434
-857.94196,545.38214,342.18124
-623.28827,431.3537,280.6388
-554.75665,556.48126,111.9193
-401.36386,255.075,84.500885
-442.5735,537.64185,177.08661
-173.31367,-37.776894,-82.12984
-199.0577,369.84357,196.21382
-7.0617113,74.086494,12.97626
-77.293335,247.98553,122.82262
73.56815,-55.58111,-17.708845
-117.13682,283.3517,246.53206
17.29552,-57.73635,31.697557
-231.24973,3548.3118,1696.7461
-296.3075,1549.3328,659.7547
-260.32153,98.268425,308.92392
-968.99585,1112.5928,662.7206
-1184.1277,1009.8586,656.3382
-830.1758,284.88055,256.00415
-494.36026,947.00867,881.2893
-185.05952,1361.7809,784.17084
-477.05945,589.73914,483.16278
-139.36205,72.02472,97.27768
-59.331573,-133.66945,210.41515
-56.252045,245.74841,-66.52766
122.12983,-38.176033,15.648651
-299.73932,-58.334206,59.34946
-750.77985,678.4453,252.3033
-994.21594,871.48706,940.17096
-2236.6882,301.9303,682.33636
-3078.198,875.408,183.54742
-1393.1777,-429.9205,-52.115257
-1557.8698,893.91077,956.7869
-1577.427,1149.5789,1042.3535
-1314.9885,-381.3664,510.5477
-1330.6744,421.85397,309.61276
-1545.3757,354.87167,374.12848
-1483.044,552.6645,433.51224
-1154.9082,263.91376,131.07323
-1011.3715,509.856,75.62363
-876.79346,369.75262,62.98778
-664.9973,454.52045,22.850014
-553.2483,419.4991,-4.158189
