# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-1109.5425,2698.8445,89.74414
-837.4928,1547.3214,89.39667
-717.23615,639.7354,101.51771
-695.7961,-179.87524,72.47401
-632.4529,-704.21716,-1.3730015
-629.92,-1030.7906,86.15329
-732.8639,-791.98346,79.96389
-810.90424,-685.8266,65.59662
-1061.948,334.61252,234.85405
-1887.5815,2187.9617,447.72388
-1738.9076,3356.9487,723.61096
-659.66815,3177.2168,659.2274
-61.05476,1862.6794,407.096
185.99922,1317.101,247.78398
447.16336,769.8161,242.74461
571.119,303.7285,104.81427
829.2759,-149.05959,33.376728
873.8052,-14.3971,60.785236
782.72687,66.395096,68.891075
657.8896,540.1181,-32.96067
340.01187,2087.058,39.384594
-386.5914,3723.0085,54.9584
-1137.356,3464.4578,339.556
-1037.3469,2305.7031,263.44525
-966.91583,1293.2064,215.19604
-853.306,439.42245,159.24805
-747.1295,-207.03061,63.065865
-698.62115,-753.07153,-24.015118
-645.8377,-914.1208,50.26301
-751.35345,-628.5673,44.428074
-752.14044,-454.58463,111.78079
-1223.1589,1161.7246,244.3186
-1599.1548,2515.0264,386.901
-1307.9207,3472.4187,697.885
-484.54657,2641.8782,614.37225
-35.647614,1429.8347,393.57565
188.82904,783.3514,197.52441
482.25436,213.64961,98.570045
891.5899,15.585585,18.261627
1043.0947,-17.153044,98.19294
856.9588,185.5572,131.48074
752.4674,199.30771,-7.8598237
383.974,1489.672,3.7427752
-156.32875,3587.0654,-342.387
-891.5777,4730.311,-412.48364
-1680.4886,3317.3345,209.90523
-1445.8667,1520.284,133.22632
-1154.5428,590.7872,242.62761
-896.73724,-133.98148,72.06728
-792.35724,-769.5224,88.03915
-671.0406,-1029.6716,-6.884811
-701.78845,-650.8995,122.2857
-760.89594,-363.7134,-35.317665
-1015.36566,-243.3392,155.3942
-1707.834,1471.5072,669.4572
-1923.7052,2800.2417,1217.0438
-1088.127,3089.601,1199.5333
-324.33722,2118.3025,899.8276
25.71097,1282.6481,554.29877
339.37363,894.83453,280.83627
534.4477,611.9094,138.95312
652.91785,239.81064,58.98654
896.59985,203.00273,-181.56512
826.12994,208.686,-188.538
712.4027,351.51892,-257.84268
347.1252,1271.7635,312.60785
-169.10437,3095.3896,847.6703
-1010.708,3890.1897,815.079
-1292.164,2478.0125,891.1138
-903.10455,1318.5265,647.5246
-757.5779,677.9781,388.5314
-576.8039,43.713406,252.1751
-486.044,-343.47766,128.79924
-518.83295,-698.20374,-29.537096
-683.9511,-612.4571,-79.13214
-928.1329,-402.74622,-57.242706
-1209.7194,309.50986,151.7323
-1510.3636,1521.0977,122.07848
-1583.3098,1971.6127,555.2289
-1208.3573,2936.5996,677.48804
-557.0425,2563.8367,385.40778
-107.55395,1803.2604,442.93945
318.23105,1051.478,204.98505
569.5458,566.8617,106.260666
796.1276,239.07207,44.20014
992.3073,17.934128,36.58521
836.3168,83.83158,16.476477
701.8916,143.21693,78.58983
459.70453,954.9926,37.993565
-3.4874744,2525.4204,122.839424
-838.5482,3852.6426,91.040306
-1545.3615,3497.2998,389.6157
-1308.6294,2185.5073,252.88231
-1060.5334,1100.4308,213.32913
-700.0978,162.51007,23.666462
-563.69226,-553.5144,-91.07683
-451.63077,-992.164,-202.57631
-536.6472,-728.0189,6.0122046
-794.78503,-578.59686,78.992035
-1009.501,-202.29698,245.45752
-1527.7859,1341.1078,122.18878
-1852.5681,2551.1501,619.23096
-1178.1388,3301.0378,981.5338
-485.80804,2414.3918,746.78754
-88.01011,1485.7195,586.8096
187.67958,945.1566,293.9014
483.1116,481.58994,167.67615
620.79065,151.68703,77.73844
944.5885,28.661507,14.876003
851.34875,189.55116,60.658756
750.7703,157.48315,106.11179
486.13367,800.468,147.96071
137.27226,2560.092,166.4986
-1223.9657,4351.8623,439.65262
-1925.61,3415.9492,688.83405
-1455.0947,1875.5879,315.84207
-1151.4852,853.5359,149.46788
-774.7414,107.07923,25.414597
-601.2099,-278.07733,-23.94147
-488.08353,-701.66675,-161.51245
-544.4154,-736.5527,-123.626495
-735.3439,-663.06213,-161.69012
-819.4777,-445.67078,53.202293
-1162.565,983.745,247.969
-1045.4482,1851.3275,508.5797
-957.198,3047.328,1249.7716
-618.4674,2563.0962,1077.1641
-84.22366,1528.8367,968.521
63.145752,1027.6152,664.26263
337.30145,549.7959,507.28946
463.19012,316.48373,386.8001
