# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-197.42,268.04132,553.37524
-286.38177,147.4847,-557.9345
119.87411,416.88092,807.6353
-2895.234,-577.9641,-75.16992
-1654.1786,-580.99176,376.64233
-356.94568,453.56052,401.84546
-718.8191,-244.8844,736.03955
-532.1602,241.60101,529.3141
-1358.8582,-668.7973,630.1265
-614.0699,250.19708,23.615839
-1101.6373,-259.79376,542.27545
-467.68726,539.53314,-255.5487
-1342.1307,-202.8894,1217.4957
602.2643,683.70984,1370.1176
-1862.0266,-311.25882,-252.17966
-817.5902,201.15184,899.49414
-863.4776,277.5577,404.06387
-955.1018,180.24286,927.3154
-528.1424,368.5599,250.98907
-741.3431,262.46936,839.19336
-644.21204,245.06503,556.0551
-696.3515,334.8922,821.8776
-785.3103,292.53677,714.5405
-519.2438,224.7891,1034.5123
-771.5603,240.64539,457.38504
-889.3985,262.6874,781.7549
-956.4547,159.67566,430.62543
-985.3783,155.98428,556.2659
-584.9661,216.41,683.1968
-733.824,286.84122,833.1002
-864.4721,116.861496,489.32108
-656.59656,216.8909,776.56256
-736.1345,72.61861,594.68463
-873.67584,129.12509,754.0352
-887.9921,143.8671,358.97195
-836.448,317.70242,696.2832
-981.51245,259.87457,489.90076
-978.31793,72.62489,378.66708
-813.28644,110.05037,302.1329
-975.2185,-78.3514,287.59772
-1015.6143,-128.05434,275.97562
-976.04816,-114.59698,119.00983
-899.40436,-79.75236,111.450096
-978.58624,-65.17971,230.18176
-867.3876,-93.67964,345.78793
-768.9017,-85.16069,535.8228
-907.66254,-137.94391,449.46747
-858.586,-130.5234,436.14703
-948.17444,-141.15572,530.0582
-793.7212,-105.23132,647.1363
-1106.0703,-195.44023,523.46796
-785.19086,2.443695,630.58234
-913.2791,33.38529,492.78055
-878.2675,68.03922,656.42505
-997.20703,96.289474,456.40497
-950.53485,-35.812756,555.70746
-821.00903,166.23552,537.9704
-945.3537,72.66454,417.86597
-1043.1729,42.718678,408.22565
-883.02905,180.4415,478.9764
-1128.9799,6.4452424,207.25429
-912.81836,130.99348,444.91962
-781.1923,165.2957,328.96945
-989.25574,72.192955,421.12213
-1078.1436,8.613273,242.89816
-920.7565,-14.27969,427.50006
-945.71857,80.26941,275.90213
-1051.3013,-44.521843,147.94095
-832.5678,-22.53879,182.55302
-786.7733,-29.95295,245.38312
-980.3229,33.348442,369.0486
-812.8256,48.864185,337.31726
-1094.5638,-0.8597127,347.8505
-819.37463,47.06734,584.6701
-849.61444,228.46602,366.39114
-909.9363,117.54426,387.56097
-1026.5956,238.62944,291.76196
-1065.2961,152.44614,371.73056
-656.75024,365.98972,453.92606
-974.86597,173.61003,301.4398
-809.6407,367.10126,564.6548
-810.1806,288.2996,333.76334
-905.41187,353.58463,648.99664
-795.4199,316.69543,503.75076
-955.68317,251.64604,534.8484
-702.98004,256.05344,555.4186
-894.20355,231.67177,578.93146
-715.96075,376.9754,527.0108
-1091.8688,327.10355,388.8907
-802.3206,208.03813,459.25903
-879.4433,296.92346,377.6234
-993.3741,215.6216,317.34778
-1177.3864,35.27856,185.65744
-629.32166,66.51184,398.255
-1004.36835,154.76851,138.73264
-1029.8092,-128.3721,235.73036
-994.7591,-51.293045,43.328823
-811.6735,-178.9933,316.46298
-1050.3174,-63.500225,67.60418
-1081.4231,-230.83473,198.87437
-901.304,-40.91472,225.1477
-897.6527,-70.4865,505.34482
-1117.2316,-106.98571,395.09506
-959.3398,-257.58765,662.4989
-858.62256,-19.379438,589.94135
-935.8582,-279.83142,660.2325
-867.99506,14.039824,567.8756
-1124.97,-370.8561,445.7276
-636.1358,178.76973,538.196
-868.746,128.60062,439.02823
-1088.6129,54.249027,503.85287
-938.13245,172.1714,437.36127
-956.0262,126.88803,573.24835
-1029.8114,178.91527,570.6815
-1061.5546,44.90365,343.34158
-1020.8933,33.842796,325.55893
-1020.5115,60.583183,374.38205
-851.89716,-13.400955,468.12152
-992.8547,100.13439,428.58868
-826.7931,9.001093,286.94012
-1031.8368,221.48836,364.76242
-808.9581,-86.20345,518.2428
-856.5361,261.29144,573.37427
-665.7902,-46.7262,553.70013
-1018.9189,292.82065,487.23196
-380.11966,-245.16461,684.32587
-505.2837,585.9062,250.74158
-1446.2903,-226.66095,307.6203
-767.0782,534.5689,526.95514
-1630.9791,-164.59691,308.34683
238.42128,295.72287,977.70056
-1140.8684,505.8934,255.8613
-1072.7601,-429.60083,322.64572
-97.08091,926.7691,1081.302
-822.10834,182.11363,597.10657
-667.7908,667.7889,1386.576
-903.69214,31.54574,202.79227
-1414.4302,352.60553,745.16693
38.70304,120.55648,906.09247
-994.80566,705.1135,381.51224
-751.5659,48.926147,565.8805
-1282.0471,453.8237,244.77574
-529.3247,24.325712,540.2947
-890.8242,377.47675,317.2332
-1047.783,-98.08435,318.31024
-1251.0121,123.61928,24.707636
-807.5386,-408.37598,440.02567
-711.9662,215.99617,153.48111
-1331.3086,-416.36865,184.06734
-731.9995,-28.40779,245.03304
