A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
937	3523	1933	228.62839	859.6931	471.68558	1
944	2938	2609	230.45238	716.9898	636.6243	1
944	3220	2377	230.38326	785.7002	580.0457	1
970	3160	2411	236.69397	771.01404	588.2646	1
946	3206	2318	230.92307	782.18823	565.4971	1
918	2902	2347	223.99593	708.0438	572.703	1
911	3060	2529	222.25221	746.6841	617.11316	1
939	3434	2616	229.21124	837.8374	638.35254	1
947	2900	2463	231.02957	707.61914	601.0583	1
906	3232	2452	221.18008	788.72107	598.4017	1
1036	3336	2622	252.71346	814.03467	639.67017	1
1065	3179	2628	259.8756	775.6849	641.2938	1
1097	2950	2467	267.5697	719.89777	601.9269	1
1035	2841	2442	252.53503	693.2126	595.9418	1
1113	3259	2108	271.60992	795.1077	514.45856	1
1065	3442	1930	259.82672	839.83655	470.87494	1
1007	2903	2514	245.74898	708.2838	613.31177	1
1038	3154	2636	253.35855	769.5123	643.2819	1
1079	2997	2370	263.184	731.15485	578.3101	1
1010	2952	3315	246.47998	720.26953	808.79443	1
1138	2787	2498	277.71722	679.96936	609.435	1
1217	2634	2172	296.9747	642.61835	530.04004	1
1016	2526	3086	247.96346	616.2728	752.957	1
777	3408	3451	189.6264	831.5431	841.9528	1
1150	3661	2747	280.52884	893.18884	670.2478	1
1155	2942	2866	281.6983	717.81525	699.278	1
947	2394	2791	231.1006	584.07855	681.0927	1
1160	2515	2524	282.926	613.69507	615.91974	1
1083	3280	2706	264.18405	800.2155	660.26013	1
1049	2290	2859	256.06686	558.7064	697.60925	1
579	2377	2833	141.29507	580.04956	691.32916	1
801	2937	3104	195.4326	716.691	757.3773	1
374	3159	2849	91.252594	770.81036	695.17413	1
143	2592	2664	34.94856	632.35724	649.9651	1
86	2137	2855	20.89919	521.33685	696.5633	1
-312	3218	3085	-76.03971	785.2194	752.73535	1
-273	3339	2728	-66.62853	814.7728	665.6409	1
-131	3165	2393	-32.04051	772.26575	583.8183	1
-390	3136	2640	-95.281296	765.2327	644.0508	1
-546	2384	3186	-133.28851	581.70795	777.4634	1
-528	2805	2718	-128.92085	684.5079	663.071	1
-819	3564	2482	-199.92322	869.63763	605.49603	1
-499	3531	2794	-121.65038	861.6772	681.713	1
-299	2801	2199	-73.06535	683.51855	536.5156	1
-479	3046	2256	-116.982315	743.17633	550.50165	1
-631	3855	2091	-153.91231	940.51117	510.19754	1
-820	3869	1860	-200.10905	944.10986	453.80115	1
-718	3286	1645	-175.24771	801.8627	401.30563	1
-1112	3535	1628	-271.26135	862.5635	397.21436	1
-949	2947	1817	-231.48152	719.04736	443.40665	1
-922	3787	1730	-224.92667	924.0944	422.06186	1
-966	4494	1372	-235.74297	1096.4242	334.75403	1
-1143	4231	1218	-278.78342	1032.3185	297.1252	1
-1098	3813	973	-267.85535	930.4072	237.38098	1
-934	4003	1367	-227.88228	976.62634	333.5172	1
-775	3467	988	-189.07729	845.86383	241.01279	1
-517	3977	1142	-126.05878	970.37213	278.71854	1
-513	3463	1387	-125.13903	844.90356	338.4315	1
-552	3814	1216	-134.70908	930.63745	296.7185	1
-794	4872	1197	-193.63374	1188.7693	292.04803	1
-741	3904	1703	-180.80782	952.485	415.41687	1
-585	3226	1867	-142.81044	787.12866	455.5726	1
-501	3045	2027	-122.16151	742.90765	494.67053	1
-623	3599	1537	-151.91928	878.1515	375.01184	1
-716	4563	1500	-174.78162	1113.3663	366.0807	1
-476	3807	1194	-116.070595	928.9676	291.23325	1
-969	4179	727	-236.50175	1019.64404	177.4112	1
-549	3627	1438	-133.89124	885.01624	350.85352	1
-532	2854	1793	-129.92783	696.3834	437.38248	1
38	2906	1509	9.166444	709.01465	368.07498	1
59	3190	1346	14.422482	778.3725	328.52603	1
-499	3790	1608	-121.65762	924.82886	392.36453	1
-302	3707	1678	-73.59859	904.5361	409.49042	1
-577	4066	1365	-140.82288	992.186	333.12878	1
-359	3798	1104	-87.563194	926.7131	269.33694	1
-287	4121	963	-70.106155	1005.5911	234.88342	1
-509	4665	669	-124.28505	1138.3009	163.35185	1
-576	3841	977	-140.4928	937.1844	238.42969	1
-503	3629	1019	-122.748314	885.55	248.66997	1
-654	4206	1082	-159.68222	1026.1726	263.91968	1
-676	4090	1228	-164.9224	998.02966	299.55673	1
-517	3911	1209	-126.15612	954.3542	295.0963	1
-467	3721	1227	-113.956375	907.9738	299.31708	1
-318	3118	1235	-77.70782	760.85944	301.4539	1
-527	3060	1527	-128.62537	746.5332	372.64328	1
-543	3017	1105	-132.46785	736.15015	269.56174	1
-856	4206	518	-208.74347	1026.2349	126.41575	1
-1048	4706	541	-255.74124	1148.2643	132.11385	1
-987	4535	260	-240.811	1106.5409	63.346546	1
-1240	4469	279	-302.51242	1090.4979	67.978584	1
-1188	4467	689	-289.99048	1089.9426	168.05444	1
-1194	4606	284	-291.45053	1123.98	69.39746	1
-1266	4551	472	-308.83765	1110.5605	115.132805	1
-1130	3969	251	-275.7492	968.4476	61.123714	1
-1358	5060	43	-331.4607	1234.5215	10.540971	1
-1064	4468	425	-259.49405	1090.1577	103.76807	1
-933	3140	1216	-227.77055	766.061	296.74277	1
-900	3774	1400	-219.67247	920.792	341.6253	1
-599	4053	862	-146.08801	988.9518	210.2711	1
-435	3947	1449	-106.055984	963.12476	353.67017	1
-187	3033	1942	-45.63937	740.1317	473.86224	1
-12	2561	2372	-3.000654	624.9212	578.8011	1
-159	1805	2730	-38.799835	440.33304	666.2338	1
-306	2814	2379	-74.7179	686.5759	580.53845	1
-478	3673	1409	-116.74513	896.26044	343.7626	1
-378	3012	1022	-92.142555	734.9891	249.2839	1
-408	2974	1163	-99.43175	725.6876	283.8205	1
-917	4680	948	-223.79765	1141.969	231.28308	1
-830	5097	668	-202.6002	1243.6515	163.04338	1
-247	3957	660	-60.331463	965.4906	161.03192	1
-511	3698	580	-124.72088	902.37866	141.47987	1
-470	4364	622	-114.57823	1064.8383	151.73438	1
-990	4350	887	-241.50476	1061.4404	216.30768	1
-1132	4092	893	-276.12024	998.5416	217.91606	1
-961	4521	193	-234.4544	1103.0063	46.98191	1
-993	4817	-51	-242.24422	1175.3805	-12.472515	1
-718	4277	120	-175.07257	1043.6339	29.267513	1
-591	4450	365	-144.14682	1085.753	89.05848	1
-541	3951	806	-132.03102	964.1383	196.55363	1
-337	3882	750	-82.13113	947.20135	183.05774	1
