A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
606	3532	1434	147.83199	861.7389	349.8858	4
2021	2772	1567	493.17728	676.3286	382.3855	4
1506	2860	1636	367.54422	697.84106	399.07974	4
1928	3433	1147	470.41635	837.70984	279.75348	4
1344	3080	1274	328.01245	751.6347	310.81848	4
1546	4314	1300	377.30402	1052.7075	317.2189	4
1596	3529	1274	389.53412	861.1519	310.92758	4
1592	3589	1198	388.55362	875.6219	292.4238	4
1584	3429	1328	386.5435	836.5883	324.11792	4
1683	4427	1294	410.54724	1080.122	315.79593	4
1475	3897	1386	359.934	950.82007	338.1786	4
1510	4324	1462	368.452	1055.143	356.63397	4
1410	3294	1257	344.05478	803.8224	306.6968	4
1191	4630	1311	290.6011	1129.631	319.919	4
1044	2741	942	254.66948	668.89	229.9305	4
565	3821	1394	137.73834	932.37573	340.12924	4
444	3256	843	108.2768	794.43787	205.76317	4
56	3515	1441	13.768807	857.67267	351.56467	4
-190	2119	1609	-46.312386	517.0164	392.67957	4
-346	7040	2836	-84.48145	1717.7979	692.0091	4
-320	8304	2632	-78.16953	2026.0625	642.2487	4
961	2097	1545	234.59926	511.75867	376.94357	4
292	3616	2183	71.203476	882.19403	532.7306	4
405	4991	2581	98.75044	1217.695	629.7905	4
552	4864	2360	134.70403	1186.8005	575.95605	4
584	3888	2607	142.55338	948.62616	636.0135	4
972	2808	1539	237.05263	685.0646	375.3998	4
1285	2699	1512	313.59912	658.5343	369.0352	4
1174	1185	1624	286.3776	289.02402	396.21353	4
1527	1967	1028	372.5068	479.95715	250.84592	4
1192	1897	901	290.88452	462.983	219.86113	4
1562	871	613	381.21484	212.45084	149.56102	4
466	549	675	113.60687	134.00406	164.66054	4
-5	3393	1446	-1.2197148	827.82056	352.73517	4
-839	56	232	-204.82999	13.641065	56.60584	4
624	10237	2804	152.31625	2497.7393	684.1296	4
11	11532	3417	2.6410022	2813.9243	833.8556	4
344	592	-677	83.95908	144.36234	-165.14957	4
765	3252	2075	186.61444	793.52295	506.20157	4
447	4903	2412	109.0542	1196.2483	588.5694	4
-266	3116	1646	-65.013794	760.3631	401.6234	4
-2217	4137	2151	-541.01587	1009.3582	524.8795	4
-2145	4932	1254	-523.4697	1203.5017	305.8705	4
-2063	-636	521	-503.3922	-155.11827	127.02972	4
-1868	-904	423	-455.87683	-220.67743	103.14741	4
-3422	-328	-409	-834.9876	-79.9776	-99.81943	4
-3334	2289	498	-813.462	558.60736	121.41668	4
-4159	5123	506	-1014.87476	1250.0636	123.54963	4
-3681	4782	1392	-898.06396	1166.697	339.72906	4
-6286	4827	-31	-1533.7125	1177.7728	-7.5101204	4
-3899	7250	883	-951.25037	1768.976	215.53938	4
-3669	3243	2386	-895.27606	791.37634	582.20215	4
-5375	7805	3255	-1311.4989	1904.3137	794.2706	4
-4208	3581	2185	-1026.7974	873.7788	533.0285	4
-4521	5572	3365	-1103.0552	1359.622	821.15405	4
-3718	5070	3245	-907.2453	1236.9868	791.7937	4
-3753	7528	3747	-915.71014	1836.8663	914.3337	4
-1734	3989	2299	-423.15164	973.31775	561.05255	4
-1767	4265	2706	-431.11447	1040.7682	660.31964	4
-1439	2289	1473	-351.0174	558.51984	359.47897	4
-2173	3874	1109	-530.13806	945.31696	270.52133	4
-1437	1610	560	-350.65143	392.9413	136.7172	4
-1566	2333	758	-382.01135	569.26825	184.99713	4
-1068	917	609	-260.7061	223.85828	148.62375	4
-703	1722	915	-171.61742	420.07382	223.32053	4
-112	106	69	-27.317177	25.832474	16.914833	4
-68	1669	1249	-16.481993	407.2211	304.83994	4
407	-108	304	99.29521	-26.296494	74.20096	4
381	1987	1053	93.081406	484.7999	256.94458	4
230	-499	349	56.04433	-121.69216	85.18044	4
-426	1514	1374	-103.97916	369.39386	335.14966	4
-995	-2207	-755	-242.70558	-538.55493	-184.20233	4
-933	14420	6946	-227.54515	3518.5847	1694.8153	4
-2373	11781	1824	-579.0344	2874.522	445.13968	4
-716	-3614	1149	-174.738	-881.7031	280.3794	4
-3652	7588	4020	-890.98865	1851.5637	980.7686	4
-3568	3998	2383	-870.5349	975.5129	581.556	4
-3376	3318	2369	-823.6647	809.6757	578.05585	4
-2677	2576	1985	-653.24176	628.58026	484.443	4
-2342	3976	1681	-571.42706	970.09064	410.22797	4
-2167	4544	549	-528.68066	1108.7902	134.03076	4
-1340	6685	1445	-326.96875	1631.1827	352.70126	4
-546	34	-84	-133.11526	8.193271	-20.558544	4
-650	2088	648	-158.54192	509.54135	158.15862	4
-278	1056	-603	-67.714386	257.66705	-147.04752	4
-816	1291	-937	-198.9897	314.97098	-228.60928	4
-1690	1587	-434	-412.33618	387.1225	-105.91798	4
-4201	1440	1825	-1025.1545	351.44583	445.31702	4
-6528	3083	515	-1592.791	752.3221	125.635376	4
-7196	2139	302	-1755.8812	521.8381	73.68627	4
-6792	3323	2079	-1657.1306	810.8348	507.2449	4
-6863	6402	3221	-1674.6538	1562.2019	785.8851	4
-7463	4519	2024	-1821.0007	1102.6931	493.7524	4
-6392	5462	2534	-1559.5496	1332.7802	618.391	4
-5148	5813	2068	-1256.1724	1418.2737	504.64188	4
-4789	4547	686	-1168.5273	1109.5564	167.39114	4
