A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
-3294	-2049	-407	-803.61444	-499.83548	-99.188515	8
-4345	-1438	171	-1060.1527	-350.77823	41.615513	8
-4772	-68	76	-1164.2566	-16.566225	18.663464	8
-11884	8280	1881	-2899.6543	2020.4385	459.06464	8
-14175	20534	3426	-3458.6619	5010.2925	835.97565	8
-5308	13472	1239	-1295.038	3287.0564	302.3127	8
-1214	7054	923	-296.2767	1721.0562	225.25603	8
1685	4619	239	411.08545	1126.9669	58.231895	8
2843	1401	269	693.7917	341.76834	65.63459	8
3200	1209	9	780.92114	295.10776	2.1220226	8
2664	1124	237	649.97754	274.16714	57.839195	8
2719	1511	-69	663.463	368.6826	-16.821264	8
2414	1202	-104	589.0067	293.3622	-25.343628	8
1934	2872	-296	471.78632	700.6819	-72.12529	8
1362	4950	-487	332.22473	1207.8312	-118.76768	8
-205	12623	-1230	-49.964787	3080.0852	-300.0341	8
-4689	17319	-1162	-1144.1759	4225.876	-283.49713	8
-6447	12961	-466	-1573.0787	3162.574	-113.82094	8
-6222	8230	-205	-1518.2678	2008.1903	-50.081608	8
-4997	4355	-218	-1219.3607	1062.655	-53.21729	8
-4321	1690	-56	-1054.4344	412.46426	-13.5890255	8
-3783	-434	-138	-923.162	-105.88002	-33.574417	8
-4143	-1569	-89	-1010.85986	-382.84424	-21.701946	8
-3971	-2235	-106	-969.0058	-545.32355	-25.969488	8
-3993	-2383	-82	-974.36115	-581.4366	-19.980808	8
-3409	-2435	-71	-831.7839	-594.1199	-17.242466	8
-4576	-827	541	-1116.5057	-201.84831	132.08493	8
-4901	242	319	-1195.9462	58.932064	77.72296	8
-13041	10949	1508	-3181.9958	2671.552	368.004	8
-11603	23542	1750	-2831.222	5744.247	426.9422	8
-3279	11303	396	-799.9613	2757.987	96.7353	8
-179	6696	133	-43.580864	1633.874	32.356842	8
1758	3526	-87	428.98618	860.46173	-21.211164	8
2376	1461	-90	579.64886	356.36325	-21.88721	8
3075	511	-299	750.4199	124.570244	-73.05402	8
2688	1425	-142	655.9286	347.62772	-34.620377	8
2421	2235	-258	590.8079	545.3646	-62.99976	8
2167	3541	-224	528.6921	864.0372	-54.615498	8
1850	3203	-698	451.3078	781.425	-170.43092	8
2018	4097	150	492.301	999.679	36.564476	8
1126	12241	-688	274.81204	2986.8567	-167.80556	8
-3741	20021	-825	-912.7858	4885.0854	-201.30824	8
-5882	11703	-67	-1435.2957	2855.567	-16.422028	8
-4339	5297	-27	-1058.7539	1292.3584	-6.689553	8
-4339	2519	-119	-1058.6195	614.5288	-29.004	8
-4231	871	-65	-1032.3262	212.64445	-15.886777	8
-4238	-219	128	-1033.9957	-53.39979	31.232971	8
-3584	-488	-167	-874.4452	-119.08486	-40.833817	8
-3741	-1269	208	-912.71674	-309.65982	50.73854	8
-2900	-2111	128	-707.6771	-515.1689	31.341282	8
-3864	-2281	540	-942.9	-556.58716	131.68863	8
-3589	581	404	-875.74927	141.7577	98.47815	8
-7933	4650	1223	-1935.6324	1134.5746	298.31024	8
-12688	19521	2507	-3095.9119	4763.054	611.73517	8
-6038	17138	1185	-1473.358	4181.637	289.1624	8
-690	7781	509	-168.3924	1898.6808	124.09518	8
1741	5223	298	424.75647	1274.5236	72.65336	8
2655	2110	204	647.73444	514.7806	49.822662	8
3461	930	-108	844.5698	226.84389	-26.309118	8
3303	390	-13	806.0241	95.22249	-3.1011367	8
2750	1043	-16	671.0776	254.38503	-4.0238943	8
2433	1433	67	593.6612	349.75986	16.38483	8
1924	2634	-207	469.3937	642.6002	-50.46877	8
1902	5994	-539	464.06128	1462.6315	-131.56416	8
-135	15621	-1198	-32.895115	3811.5723	-292.37158	8
-3710	16899	-1294	-905.1594	4123.3164	-315.82642	8
-5898	12559	-598	-1439.1113	3064.277	-145.88025	8
-5695	7744	-545	-1389.4789	1889.6003	-132.97453	8
-4471	3133	-337	-1091.0402	764.38635	-82.1742	8
-3789	595	-241	-924.6274	145.26044	-58.829716	8
-3536	-1259	-214	-862.7993	-307.18915	-52.11376	8
-3708	-1435	23	-904.7336	-350.1172	5.685107	8
-4206	-2301	326	-1026.3304	-561.44006	79.43736	8
-3845	-1966	194	-938.07697	-479.7363	47.306816	8
-4244	-1604	324	-1035.496	-391.34076	78.981964	8
-4404	-401	234	-1074.6492	-97.93932	57.094833	8
-7476	2314	214	-1824.0553	564.53796	52.198135	8
-14404	17197	2605	-3514.489	4196.016	635.5817	8
-7724	20322	1615	-1884.7366	4958.4473	394.0742	8
-1516	8939	609	-369.99643	2181.11	148.59041	8
882	5861	657	215.13193	1430.107	160.34084	8
2154	2256	414	525.67993	550.56305	101.029564	8
2768	1254	146	675.5087	306.04376	35.65684	8
2700	776	111	658.8743	189.4048	27.00382	8
2586	1160	327	631.1058	283.0603	79.88316	8
2447	1084	140	597.0154	264.3818	34.18951	8
2338	2371	-27	570.5222	578.4328	-6.645329	8
1691	3589	-382	412.518	875.6559	-93.29165	8
1475	9645	-587	359.93695	2353.4934	-143.23982	8
-1767	17023	-1202	-431.1919	4153.6616	-293.20535	8
-5622	14713	-535	-1371.8278	3589.9585	-130.43298	8
-5827	9540	-218	-1421.8452	2327.7488	-53.19572	8
-4797	5437	-212	-1170.4059	1326.6067	-51.665314	8
-4437	2378	-26	-1082.5975	580.11597	-6.3847275	8
-3932	-232	-5	-959.4484	-56.663822	-1.2732594	8
-3684	-1625	-272	-898.98584	-396.61362	-66.27926	8
-3101	-2070	-260	-756.5581	-505.07373	-63.3284	8
-3686	-2287	125	-899.36096	-558.0144	30.520792	8
-3280	-1820	157	-800.2732	-444.1324	38.24197	8
-4190	-728	850	-1022.3678	-177.60054	207.42235	8
-3909	-243	144	-953.91095	-59.275425	35.24172	8
-10863	7906	1586	-2650.572	1928.9976	386.91946	8
-12605	22199	3406	-3075.7087	5416.505	831.18134	8
-3981	13665	1243	-971.36774	3334.2815	303.18015	8
-455	6754	1296	-111.05553	1647.8583	316.19733	8
1504	4420	696	367.0611	1078.5826	169.85886	8
1880	1355	540	458.6958	330.66403	131.86717	8
2492	497	-183	608.1153	121.365204	-44.71221	8
2539	46	30	619.63043	11.195181	7.4389033	8
2739	528	-172	668.21655	128.73349	-41.86133	8
2659	889	208	648.86395	216.8184	50.680595	8
2346	1948	-302	572.46954	475.20142	-73.6867	8
2231	4146	-522	544.3944	1011.6551	-127.38324	8
81	14525	-1593	19.880953	3543.9792	-388.7624	8
-4187	17258	-1507	-1021.74866	4210.9727	-367.64307	8
-5369	12172	-415	-1310.0763	2969.9116	-101.36866	8
-5303	8192	-123	-1293.9573	1998.8746	-30.045605	8
-4260	3561	178	-1039.401	868.86053	43.55015	8
-3996	1196	269	-975.09546	291.88773	65.70894	8
-3590	-877	-103	-875.99945	-213.90547	-25.03283	8
-4116	-1395	283	-1004.332	-340.39438	68.979485	8
-3514	-2522	109	-857.42334	-615.3987	26.519548	8
-4054	-1988	-34	-989.2691	-485.1628	-8.279613	8
-3677	-1590	60	-897.2763	-387.90652	14.757542	8
-4987	-614	1067	-1216.7883	-149.87311	260.32462	8
-5680	850	245	-1385.8456	207.35893	59.878082	8
-13199	12214	1546	-3220.6594	2980.1711	377.1164	8
-10389	22149	2171	-2534.9268	5404.403	529.69244	8
-2154	10995	615	-525.6424	2682.8442	150.15503	8
211	7118	629	51.540924	1736.912	153.45332	8
2122	2946	460	517.8342	718.7272	112.34298	8
2425	1194	301	591.71155	291.4424	73.405464	8
2826	117	-63	689.50836	28.587101	-15.430319	8
2541	526	-12	619.8851	128.26431	-2.9864554	8
2624	444	35	640.3425	108.32241	8.528659	8
2332	1642	-50	568.9298	400.69635	-12.094489	8
2319	2785	-565	565.86835	679.5569	-137.92273	8
