A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
1238	3596	2046	302.1452	877.53217	499.29633	12
1306	3812	2263	318.72318	930.03796	552.23596	12
1147	2355	2119	279.7879	574.6496	517.1147	12
943	2570	2409	229.97589	627.05145	587.784	12
1086	3859	2380	265.04535	941.67566	580.81885	12
1044	3332	2343	254.84132	812.90546	571.582	12
1154	3301	2303	281.4662	805.4602	561.91003	12
1115	3284	2251	272.04172	801.2111	549.24036	12
1084	3090	2198	264.41342	754.0789	536.36346	12
1149	3002	2231	280.30722	732.511	544.3338	12
1187	3427	2227	289.6464	836.07117	543.375	12
1162	3541	2077	283.5681	864.0425	506.8714	12
1265	3058	2035	308.7015	746.274	496.42438	12
1487	2909	2067	362.85745	709.85504	504.32425	12
1583	3005	2285	386.18448	733.26807	557.48804	12
1453	3657	2262	354.511	892.2914	551.9737	12
1548	3127	3068	377.59552	762.88477	748.59546	12
1820	3167	2242	444.02698	772.8094	546.92816	12
1547	2977	2195	377.40475	726.461	535.66315	12
1616	2393	2775	394.36438	583.92224	677.1414	12
1557	3732	2617	379.96957	910.5035	638.61487	12
1591	3453	2389	388.16843	842.5809	582.81946	12
1220	1895	1849	297.62747	462.33276	451.15207	12
1212	3620	2848	295.65567	883.3864	694.91406	12
937	2305	2849	228.68141	562.48785	695.2694	12
701	1332	2913	171.05547	325.02475	710.80634	12
513	2312	3401	125.08637	564.04	829.78125	12
771	3055	3165	188.04251	745.5155	772.22833	12
559	3243	2299	136.48671	791.2119	560.9894	12
166	1938	2802	40.4362	472.98065	683.6076	12
36	2908	2687	8.774423	709.5073	655.61774	12
-209	2663	2946	-50.93946	649.72156	718.73236	12
-381	2305	2983	-93.00062	562.5371	727.8652	12
-465	2971	3006	-113.53379	724.9369	733.4191	12
-166	2063	2759	-40.406544	503.47742	673.2874	12
-397	2978	2949	-96.92351	726.72705	719.4538	12
-297	3056	2842	-72.5381	745.5908	693.5523	12
-318	2870	2797	-77.56788	700.30176	682.5594	12
-247	3417	2534	-60.358395	833.6292	618.34827	12
-423	3699	2412	-103.30278	902.51416	588.4069	12
-364	3183	2235	-88.91933	776.6707	545.3116	12
-745	3422	2140	-181.82822	834.9774	522.2741	12
-824	3526	2154	-200.9492	860.3416	525.55963	12
-473	3640	2328	-115.4985	888.0804	567.92645	12
-469	3446	2058	-114.39762	840.8584	502.03735	12
-387	3868	2153	-94.53535	943.7106	525.32104	12
-257	3518	2174	-62.63609	858.43176	530.35333	12
-179	3974	1776	-43.61788	969.5603	433.35617	12
-141	3760	1632	-34.40506	917.41534	398.16998	12
-153	4019	1298	-37.291573	980.5622	316.6711	12
103	3797	1385	25.176937	926.36127	337.9633	12
110	3546	1171	26.874662	865.2703	285.8253	12
-8	3871	876	-1.8458006	944.4461	213.78238	12
210	3464	766	51.287384	845.2291	186.95325	12
-129	3760	551	-31.38665	917.5393	134.4504	12
-172	4406	800	-41.909885	1074.9825	195.21199	12
-531	4318	811	-129.47543	1053.6285	197.90546	12
-743	4998	1015	-181.23148	1219.5917	247.70921	12
-844	4432	1373	-205.82132	1081.5171	334.99887	12
-973	4360	1767	-237.34167	1063.7972	431.23367	12
-382	3425	1860	-93.25771	835.7336	453.7244	12
-268	3708	1669	-65.44365	904.81903	407.2585	12
-282	3542	1621	-68.89543	864.26776	395.43872	12
127	3074	1797	31.035759	750.07275	438.57446	12
385	3582	1021	93.92781	874.07996	249.0311	12
270	3853	1186	65.928566	940.0343	289.42255	12
238	3379	1392	58.160854	824.4074	339.6772	12
399	3849	1441	97.434235	939.2763	351.6941	12
186	4063	1376	45.266014	991.36664	335.85455	12
269	4213	1557	65.5659	1028.0303	379.98593	12
200	3716	1617	48.85464	906.7813	394.6194	12
394	3482	1676	96.21016	849.61346	408.849	12
312	3746	1642	76.096405	914.0036	400.70413	12
423	3473	1603	103.09245	847.49567	391.06674	12
365	3725	1482	89.0595	908.9147	361.72104	12
500	3777	1318	121.935936	921.5152	321.57474	12
497	3967	1331	121.14892	967.8684	324.69443	12
420	4164	1429	102.40945	1015.95685	348.7173	12
410	4046	1376	100.07643	987.20575	335.62903	12
385	3827	1632	94.057526	933.82086	398.2269	12
456	3275	1822	111.18854	799.12634	444.48834	12
561	3366	1676	136.84007	821.2999	408.84705	12
579	3484	1600	141.32204	850.0937	390.47818	12
657	3577	1478	160.20773	872.7387	360.6295	12
780	3857	1395	190.42311	941.08014	340.3953	12
735	3915	1543	179.44536	955.2891	376.4024	12
614	3566	1607	149.82855	869.99445	392.2139	12
479	3904	1722	116.87507	952.60486	420.28632	12
528	3541	1474	128.84018	863.9569	359.5875	12
704	3730	1753	171.8843	910.01917	427.62164	12
574	3667	1988	140.03705	894.80725	485.1804	12
569	3470	1851	138.74873	846.70764	451.7003	12
641	3078	1563	156.48178	751.0111	381.46658	12
303	2594	2067	73.856606	633.0259	504.2371	12
290	3757	2098	70.76895	916.5994	511.9195	12
-2	3454	2285	-0.49971372	842.80365	557.5634	12
-158	3354	2548	-38.654167	818.34393	621.73895	12
-465	3344	2481	-113.49445	815.9779	605.4483	12
-611	2963	2300	-149.19147	722.8908	561.2657	12
-383	3697	2794	-93.46306	902.0138	681.658	12
-300	1805	2818	-73.262245	440.44794	687.53845	12
-201	2149	3022	-49.114624	524.3464	737.4075	12
-52	3735	2802	-12.648715	911.3856	683.78174	12
526	2866	1621	128.26306	699.2811	395.4929	12
42	3167	1826	10.274948	772.8486	445.6647	12
-184	2519	2585	-44.86365	614.6101	630.8568	12
-912	2646	2471	-222.502	645.69214	602.96686	12
-590	4197	2234	-144.03928	1023.9651	545.0944	12
-1019	1876	2790	-248.7178	457.84598	680.7789	12
-1527	3106	2761	-372.59735	757.9635	673.70917	12
-1530	5823	2975	-373.34198	1420.7424	726.0215	12
-1036	3589	2863	-252.70999	875.7647	698.5412	12
-587	3253	2641	-143.22456	793.8326	644.2879	12
-976	3143	2319	-238.11975	767.0112	565.88666	12
-999	2910	2166	-243.76309	710.09564	528.40936	12
-1164	3761	2256	-283.91953	917.62665	550.4081	12
-1032	3480	2101	-251.82007	849.0364	512.7088	12
-954	3292	2206	-232.8044	803.20276	538.1593	12
-960	3299	2214	-234.2798	804.85803	540.17413	12
-823	3121	2188	-200.86775	761.42725	533.886	12
-836	3238	2355	-204.02312	790.1398	574.7383	12
-910	3459	2182	-222.10754	844.0093	532.5182	12
-936	3830	1797	-228.44717	934.55853	438.37457	12
-988	3440	2346	-241.0854	839.37054	572.53326	12
-815	2702	2330	-198.89821	659.25055	568.5668	12
-743	2883	2134	-181.21532	703.4893	520.68884	12
-1052	3529	2139	-256.8045	861.1316	522.0208	12
-1124	3823	2240	-274.26505	932.7515	546.5835	12
-930	2862	2186	-226.83957	698.36456	533.3766	12
-1203	3122	2383	-293.5787	761.7224	581.5254	12
-1078	3678	2116	-262.91815	897.5135	516.24646	12
-968	3366	2153	-236.19066	821.3833	525.21533	12
-912	3199	2156	-222.41595	780.52844	526.1583	12
-843	3195	2245	-205.61403	779.6443	547.864	12
-812	3444	2179	-198.18993	840.4011	531.7924	12
-851	3526	2202	-207.54869	860.3305	537.33246	12
-905	3279	2042	-220.8484	800.02875	498.15894	12
-1069	3267	2439	-260.8676	797.26953	595.04803	12
-965	2971	2356	-235.53032	724.98956	574.7844	12
-1095	3060	2407	-267.14777	746.757	587.373	12
-1101	3073	2198	-268.54984	749.8043	536.2811	12
-772	3457	2090	-188.40677	843.55206	510.06134	12
-962	3604	2032	-234.6561	879.42285	495.74127	12
-826	3661	2061	-201.48657	893.3409	502.9657	12
-472	3406	2018	-115.28353	830.9554	492.45126	12
-463	2999	2257	-112.88051	731.6727	550.80945	12
-1002	2679	2555	-244.48161	653.6874	623.46606	12
-1277	3342	2292	-311.69614	815.4823	559.19586	12
-1076	4199	1654	-262.5533	1024.4426	403.6178	12
-761	3517	1551	-185.75429	858.0641	378.522	12
-624	3418	2043	-152.3289	833.9735	498.49707	12
-995	3231	2301	-242.7883	788.3455	561.53973	12
-968	3575	1973	-236.2439	872.2145	481.5079	12
-904	3736	1920	-220.67328	911.6575	468.54874	12
-905	3608	1911	-220.80916	880.2993	466.3807	12
-850	3209	1937	-207.47166	783.0506	472.60974	12
-968	3589	2027	-236.24417	875.72687	494.56613	12
-715	3426	2042	-174.42284	835.9646	498.27213	12
-853	3340	2219	-208.18832	814.86707	541.4007	12
-974	3718	2180	-237.7774	907.20996	531.9266	12
-848	3254	1913	-206.95128	794.0651	466.65848	12
-841	3847	2121	-205.15181	938.7372	517.40344	12
-643	2420	1960	-156.9711	590.5409	478.14276	12
-991	2992	1888	-241.91238	729.99133	460.55386	12
-1182	3832	2277	-288.31793	935.03326	555.64716	12
-825	3922	2233	-201.31334	956.9242	544.78015	12
-657	2898	2482	-160.28035	707.1161	605.57294	12
-798	3472	3112	-194.81087	847.0706	759.34576	12
-585	2662	2504	-142.69237	649.55786	610.9213	12
-1393	2699	2715	-339.8418	658.5288	662.4464	12
-1582	2637	2567	-386.06207	643.34973	626.43164	12
-1606	2981	1960	-391.89474	727.4401	478.21536	12
-1260	3770	1677	-307.31808	919.838	409.13785	12
-1293	3334	1660	-315.5077	813.569	404.99982	12
-942	3125	1576	-229.8833	762.38074	384.65192	12
-747	3203	1347	-182.19408	781.4222	328.78812	12
-1302	4226	1606	-317.677	1031.1165	391.83585	12
-950	4163	1511	-231.7055	1015.8806	368.56464	12
-1313	3750	1593	-320.30554	915.11414	388.75357	12
-1352	3550	1959	-329.88614	866.1985	478.11734	12
-1250	3027	2371	-305.05612	738.52704	578.42554	12
-1427	3849	2513	-348.14493	939.2661	613.07477	12
-1006	4305	2250	-245.37091	1050.5165	548.912	12
-717	4952	2124	-174.94064	1208.2697	518.3538	12
-580	4518	2080	-141.45117	1102.2756	507.61487	12
1	3821	1706	0.15797853	932.3884	416.1449	12
315	4406	1376	76.97334	1074.9988	335.75983	12
726	4282	1399	177.2634	1044.7527	341.37238	12
908	3708	764	221.53406	904.8246	186.46533	12
726	4177	891	177.15901	1019.18207	217.29646	12
888	3615	734	216.73851	882.13464	179.1858	12
644	3564	520	157.1148	869.73737	126.97409	12
459	3300	987	111.97414	805.30444	240.77696	12
453	2912	1266	110.577324	710.5274	308.81433	12
796	2897	782	194.32773	706.82117	190.8802	12
1005	2954	839	245.30942	720.8869	204.66414	12
1314	2748	1202	320.5309	670.52576	293.1904	12
1186	2898	1657	289.46848	707.2053	404.4131	12
924	2697	2002	225.49747	658.18854	488.51297	12
624	2702	2337	152.26955	659.2555	570.1135	12
549	2310	2706	134.06578	563.53296	660.2756	12
909	2402	2418	221.71873	586.1061	589.9472	12
1217	1568	1872	296.8512	382.53427	456.78714	12
1550	2330	1885	378.2668	568.39905	459.96252	12
1587	2425	1683	387.1688	591.59375	410.5963	12
559	3299	1972	136.39487	804.8928	481.08704	12
107	4233	1819	26.068575	1032.7495	443.76926	12
-59	5078	2757	-14.441974	1239.0693	672.6333	12
-1281	4921	2304	-312.5761	1200.6533	562.22565	12
-950	7893	3313	-231.8606	1925.9186	808.4852	12
13	2979	3785	3.2003605	726.99426	923.43274	12
215	1181	3824	52.53599	288.27542	933.15375	12
441	1610	3607	107.589	392.7484	880.0352	12
2	788	3256	0.5899152	192.27792	794.5111	12
-567	2662	3501	-138.46024	649.506	854.2501	12
-1166	2276	3093	-284.4042	555.3757	754.728	12
-1346	3543	2108	-328.40936	864.4646	514.3508	12
-1266	5286	2488	-308.9851	1289.6722	607.04236	12
-1260	2217	2564	-307.32892	541.0631	625.6003	12
-1152	1882	1898	-281.02295	459.1975	463.19907	12
-2285	3848	1994	-557.638	938.9131	486.45746	12
-1076	2377	1985	-262.65466	579.8732	484.41666	12
-581	4091	2453	-141.78156	998.2912	598.5888	12
-679	3214	2240	-165.60803	784.23456	546.4684	12
-497	3618	1999	-121.16068	882.87775	487.74332	12
-723	4170	2547	-176.3841	1017.48596	621.54004	12
-522	3225	2443	-127.28927	786.9729	596.1657	12
-435	3994	2296	-106.22783	974.49554	560.3319	12
-453	3662	2360	-110.57763	893.42456	575.8996	12
-456	3592	2153	-111.26565	876.396	525.426	12
-897	3499	1787	-218.83437	853.6471	435.93195	12
-649	3639	1981	-158.4153	887.97546	483.34976	12
-531	3573	2040	-129.53963	871.73175	497.80283	12
-829	3460	1678	-202.32054	844.1453	409.51855	12
-609	3488	1557	-148.71577	851.0622	379.91983	12
-552	3971	2562	-134.75668	968.92676	625.1415	12
-877	3268	2355	-214.08287	797.3264	574.56726	12
217	4004	1944	52.975834	976.97614	474.39734	12
-726	4216	2938	-177.14128	1028.7192	716.92926	12
-368	2283	2792	-89.71568	556.97485	681.26215	12
-560	3491	3038	-136.60353	851.8507	741.2985	12
-603	2650	3161	-147.01758	646.53186	771.2941	12
-411	2885	2932	-100.26045	703.97266	715.29224	12
-190	3331	2898	-46.33547	812.8336	707.0058	12
-116	4332	2113	-28.290585	1057.0753	515.638	12
-453	3543	2023	-110.60315	864.4943	493.6083	12
-536	2933	2311	-130.74597	715.7221	563.88385	12
-797	2961	1965	-194.3578	722.3989	479.40036	12
-383	3043	2425	-93.52787	742.5348	591.7897	12
-1690	2401	2608	-412.31982	585.8547	636.38544	12
-1258	2345	3493	-306.8955	572.20483	852.22003	12
-1001	2861	3814	-244.269	697.98584	930.6327	12
143	3673	3555	34.899616	896.2463	867.34686	12
-440	4088	2985	-107.3741	997.49603	728.3552	12
-1932	2222	2066	-471.5018	542.126	504.15475	12
-1342	2139	2573	-327.4021	521.94415	627.7775	12
-1276	1980	3563	-311.25143	483.02982	869.34827	12
-987	1702	3109	-240.86707	415.2689	758.7168	12
-1900	2188	2813	-463.5038	533.90845	686.33466	12
-1990	1483	3110	-485.62088	361.86783	758.765	12
-1904	1322	3115	-464.52698	322.58044	759.9769	12
-2555	617	2778	-623.4183	150.4576	677.7954	12
-2046	905	2471	-499.23523	220.73863	602.8335	12
-2102	667	2782	-512.98975	162.68294	678.8696	12
-1686	919	2756	-411.48184	224.16447	672.465	12
-1841	1568	2991	-449.25772	382.58997	729.87354	12
-1916	2552	3150	-467.6149	622.6905	768.71277	12
-1185	1757	2882	-289.13672	428.74023	703.30206	12
-1373	2206	3349	-335.06448	538.3613	817.2126	12
-780	3018	3751	-190.37978	736.3754	915.16815	12
-986	2320	3753	-240.70372	566.1671	915.64374	12
-620	3138	3520	-151.21504	765.72046	858.9514	12
-659	3414	3346	-160.7914	832.9328	816.4284	12
-744	3240	2921	-181.61023	790.59735	712.72437	12
-1346	2949	2815	-328.39136	719.5189	686.9708	12
-1707	2708	2394	-416.55435	660.76355	584.2125	12
-1558	2804	2894	-380.19122	684.1301	706.1543	12
-1911	1944	2572	-466.35577	474.34625	627.5778	12
-1328	1965	3722	-324.11652	479.3805	908.23486	12
-2522	1892	2665	-615.3027	461.70013	650.14716	12
-1873	3045	2654	-456.99796	742.9357	647.45795	12
-838	2876	2891	-204.44083	701.74036	705.29865	12
-1012	1757	3168	-246.94087	428.69748	772.9207	12
-2571	1524	3562	-627.2559	371.80273	869.1492	12
-2161	1918	1643	-527.3062	467.9442	400.80646	12
-1370	3040	2590	-334.25055	741.66815	631.9822	12
-1315	2205	2773	-320.843	537.94244	676.705	12
-1779	2180	3022	-434.06287	532.0173	737.3476	12
-2242	2095	2492	-547.1015	511.2063	608.08264	12
-1618	2593	2782	-394.85983	632.7361	678.8398	12
-2306	2653	2894	-562.6079	647.34546	706.0464	12
-1830	1942	2562	-446.61768	473.95694	625.0776	12
-1847	2543	2903	-450.6157	620.56775	708.31305	12
-1309	2750	3093	-319.31778	670.97894	754.6022	12
-1621	2797	2949	-395.48398	682.4469	719.50494	12
-1388	2661	2728	-338.68338	649.374	665.5729	12
-1503	2657	2606	-366.78107	648.2796	635.7938	12
-1243	2774	3017	-303.20752	676.89246	736.05994	12
-1649	3089	2907	-402.3344	753.7008	709.3866	12
-1679	2926	2336	-409.78882	713.8403	570.01117	12
-1558	2778	2556	-380.04672	677.87915	623.7553	12
-886	2300	2723	-216.07568	561.0818	664.35376	12
-1121	2747	3244	-273.52243	670.2147	791.64935	12
-1023	2717	2814	-249.56743	663.0212	686.5542	12
-1323	2562	2824	-322.79004	625.00604	689.0108	12
-1015	3367	2795	-247.77448	821.5975	682.0855	12
-651	2948	2737	-158.83969	719.3629	667.8098	12
-620	2728	2406	-151.33589	665.74066	587.1238	12
-1094	3617	2816	-267.0405	882.5569	687.1595	12
-763	2876	2728	-186.22057	701.7155	665.72437	12
-464	2887	2901	-113.30443	704.3344	707.8607	12
-314	3507	2930	-76.66986	855.69836	714.8874	12
-920	3395	2508	-224.51448	828.48285	612.01	12
-826	2349	2379	-201.44923	573.0836	580.3624	12
-590	2372	2657	-143.89822	578.8816	648.1862	12
-1071	3132	2576	-261.23328	764.2626	628.4655	12
-1408	2572	2365	-343.5978	627.68024	577.05347	12
-965	2537	2823	-235.3531	618.9571	688.8009	12
-588	2888	2930	-143.37514	704.5883	715.0371	12
-987	2879	2818	-240.84317	702.58685	687.5355	12
-578	2414	2646	-141.12349	589.1221	645.59186	12
-407	2871	2778	-99.31666	700.50415	677.78906	12
-1309	3357	2631	-319.51022	819.1324	642.0619	12
-1617	2918	2724	-394.47086	712.01587	664.67773	12
-1773	2648	2854	-432.59665	646.008	696.3116	12
-711	3132	2607	-173.50548	764.1434	636.1266	12
-949	3332	2853	-231.54941	813.09625	696.0684	12
-836	2728	2647	-203.98676	665.73987	645.90375	12
-1228	2241	2696	-299.68082	546.7206	657.7045	12
-1051	1939	2264	-256.4804	473.12503	552.32007	12
-1671	2912	3628	-407.66312	710.5597	885.136	12
-2369	3614	2893	-578.11316	881.8377	705.8373	12
-1364	2851	3662	-332.8444	695.55505	893.6482	12
-2266	3315	2354	-552.94714	808.9431	574.39575	12
-911	3020	2698	-222.37144	736.75934	658.32916	12
-640	2260	3774	-156.13716	551.50256	920.9292	12
-1336	2535	3459	-326.03708	618.55896	843.96936	12
