@relation 'MLC'

@attribute F1_MEAN_on_ACC_V2 numeric
@attribute F2_MEAN_on_filter_BP_on_A_V2 numeric
@attribute F3_VAR_on_ACC_V2 numeric
@attribute F4_VAR_on_filter_BP_on_A_V2 numeric
@attribute F5_ENERGY_on_ACC_V2 numeric
@attribute F6_ENERGY_on_filter_BP_on_A_V2 numeric
@attribute F7_PeakToPeak_on_ACC_V2 numeric
@attribute F8_PeakToPeak_on_filter_BP_on_A_V2 numeric
@attribute F9_ZeroCross_on_ACC_V2 numeric
@attribute F10_ZeroCross_on_filter_BP_on_A_V2 numeric
@attribute F11_PeaKDet_on_ACC_V2 numeric
@attribute F12_PeaKDet_on_filter_BP_on_A_V2 numeric
@attribute F13_MIN_on_ACC_V2 numeric
@attribute F14_MIN_on_filter_BP_on_A_V2 numeric
@attribute F15_MAX_on_ACC_V2 numeric
@attribute F16_MAX_on_filter_BP_on_A_V2 numeric
@attribute class {stationary, walking, running, cycling}

@data
1.01074, -0.00361443, 0.0400391, 0.00683212, 63.625, 0.4104, 1.17578, 0.412598, 48, 20, 37, 17, 0.579102, -0.180908, 1.75488, 0.231689, stationary
1.0127, -0.0101242, 0.0371094, 0.00577545, 63.6875, 0.352539, 0.973145, 0.368652, 38, 22, 38, 16, 0.512207, -0.21875, 1.48535, 0.14978, stationary
1.09375, 0.0181122, 0.110352, 0.0422668, 78.375, 2.55469, 1.84961, 0.941895, 26, 12, 27, 11, 0.412109, -0.4646, 2.26172, 0.477295, stationary
1.05859, -0.00629807, 0.0556641, 0.0197144, 70.5625, 1.18457, 1.42578, 0.727051, 40, 16, 34, 16, 0.55127, -0.336182, 1.97656, 0.390625, stationary
1.00488, -0.00180435, 0.00292969, 0.00258255, 60.7188, 0.155029, 0.506348, 0.235229, 24, 22, 31, 13, 0.810059, -0.108948, 1.31641, 0.126221, stationary
1.00391, 0.000319958, 0, 5.83529e-05, 60.4063, 0.00350761, 0.134277, 0.0375977, 58, 20, 43, 17, 0.942871, -0.0173187, 1.07715, 0.0202637, stationary
1.00391, -2.39015e-05, 0, 1.29342e-05, 60.4063, 0.000774384, 0.0634766, 0.014679, 58, 22, 38, 15, 0.964844, -0.00826263, 1.02832, 0.00641632, stationary
1.01855, 0.0042038, 0.00292969, 0.000262737, 62.3438, 0.0168152, 0.296875, 0.0834351, 58, 16, 42, 19, 0.970703, -0.00936127, 1.26758, 0.0740967, stationary
0.99707, -0.00435638, 0.00976563, 0.00168705, 60.1875, 0.102295, 0.589355, 0.196167, 26, 14, 31, 9, 0.758301, -0.0951538, 1.34766, 0.100952, stationary
1, -0.000564575, 0.000976563, 1.68085e-05, 60, 0.00102711, 0.0561523, 0.0155182, 60, 18, 38, 16, 0.970215, -0.00778198, 1.02637, 0.00773621, stationary
1.00195, 0.000250578, 0, 1.23978e-05, 59.9688, 0.000748158, 0.0498047, 0.0140228, 56, 30, 42, 15, 0.974609, -0.007164, 1.02441, 0.00685883, stationary
0.999512, -0.000332594, 0.00195313, 5.96046e-06, 60, 0.000362873, 0.043457, 0.0109482, 62, 24, 39, 21, 0.97998, -0.00571442, 1.02344, 0.00522995, stationary
1, 0.000166655, 0.000976563, 6.73532e-06, 60.0313, 0.000404119, 0.0483398, 0.0100708, 52, 16, 36, 21, 0.976074, -0.00510025, 1.02441, 0.00496674, stationary
1.00391, -0.000208735, 0, 8.88109e-06, 60.4375, 0.000535965, 0.0615234, 0.012619, 50, 30, 39, 23, 0.969727, -0.00778198, 1.03125, 0.00483704, stationary
1.00195, 2.61068e-05, 0, 8.52346e-06, 60.1563, 0.000510216, 0.0419922, 0.0108109, 54, 22, 44, 19, 0.976563, -0.00615311, 1.01855, 0.00465775, stationary
1.00195, -0.000190258, 0, 5.36442e-06, 59.9688, 0.000324249, 0.0444336, 0.00976563, 48, 22, 37, 20, 0.979004, -0.00501251, 1.02344, 0.0047493, stationary
1.00391, -6.78897e-05, 0, 1.10865e-05, 60.375, 0.000664234, 0.0507813, 0.016571, 58, 28, 36, 18, 0.979492, -0.00914001, 1.03027, 0.00742722, stationary
1.00293, 1.84178e-05, 0.00195313, 9.59635e-06, 60.4063, 0.000574589, 0.0571289, 0.015564, 44, 26, 31, 20, 0.973145, -0.00650406, 1.03027, 0.00905609, stationary
1.00293, -0.000272512, 0.000976563, 1.37091e-05, 60.3438, 0.000824451, 0.0654297, 0.015213, 58, 20, 38, 17, 0.966797, -0.00747299, 1.03223, 0.00773621, stationary
1.00098, -5.16772e-05, 0, 7.98702e-06, 59.9063, 0.000478745, 0.0512695, 0.0123138, 46, 26, 42, 21, 0.975098, -0.00654984, 1.02637, 0.00576019, stationary
1.00391, -9.23872e-06, 0.000976563, 1.06096e-05, 60.5, 0.00063467, 0.0458984, 0.0146408, 56, 18, 38, 22, 0.979492, -0.00778198, 1.02539, 0.00685883, stationary
1.00293, 7.75456e-05, 0, 6.55651e-06, 60.1875, 0.00039196, 0.050293, 0.0109024, 50, 28, 39, 20, 0.97998, -0.00527573, 1.03027, 0.00562668, stationary
1.00391, -0.000332355, 0, 7.92742e-06, 60.375, 0.000482798, 0.0429688, 0.0141602, 68, 22, 42, 19, 0.978516, -0.00677109, 1.02148, 0.00738525, stationary
1.00098, -0.000161648, 0.000976563, 6.4373e-06, 60.125, 0.000384331, 0.0483398, 0.0094986, 58, 26, 37, 16, 0.971191, -0.00457001, 1.01953, 0.00492477, stationary
1, 4.43459e-05, 0, 6.91414e-06, 59.8125, 0.000415564, 0.0537109, 0.0132751, 50, 20, 43, 23, 0.975586, -0.00580215, 1.0293, 0.00747299, stationary
0.99707, -7.96318e-05, 0.00683594, 5.1856e-06, 60, 0.000311136, 0.0546875, 0.00839996, 54, 24, 43, 24, 0.973633, -0.00413132, 1.02832, 0.00426483, stationary
