STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-22 	 -90 	 1010 	
-72 	 -107 	 1061 	
-106 	 -112 	 1084 	
-85 	 -88 	 1127 	
-38 	 -129 	 1058 	
-4 	 -91 	 1174 	
-79 	 -89 	 1080 	
86 	 -77 	 1129 	
109 	 -120 	 1133 	
-211 	 -43 	 1236 	
-162 	 45 	 1263 	
5 	 -28 	 627 	
166 	 -83 	 -259 	
268 	 -91 	 12 	
80 	 -134 	 1535 	
-399 	 3 	 1998 	
-298 	 -90 	 1333 	
470 	 -80 	 -287 	
339 	 -3 	 -14 	
-251 	 -46 	 1718 	
-429 	 146 	 1988 	
-18 	 -142 	 159 	
803 	 45 	 -795 	
190 	 -130 	 265 	
-574 	 -69 	 1972 	
-506 	 63 	 1850 	
177 	 -118 	 -33 	
719 	 43 	 -485 	
-26 	 -23 	 922 	
-635 	 192 	 1994 	
-367 	 52 	 970 	
319 	 60 	 -391 	
448 	 -161 	 -127 	
76 	 19 	 1863 	
-538 	 53 	 1965 	
-330 	 -45 	 722 	
213 	 36 	 -429 	
152 	 -170 	 -328 	
155 	 -4 	 1578 	
-163 	 25 	 1995 	
-51 	 34 	 1010 	
130 	 69 	 -406 	
64 	 -144 	 -396 	
370 	 3 	 1792 	
-462 	 -5 	 1853 	
-54 	 -65 	 16 	
328 	 103 	 -535 	
78 	 -170 	 313 	
-265 	 171 	 1984 	
-372 	 21 	 1579 	
175 	 22 	 -189 	
248 	 -13 	 -484 	
310 	 -120 	 1039 	
-380 	 143 	 1997 	
-413 	 -58 	 1403 	
113 	 -79 	 -350 	
332 	 -104 	 -504 	
346 	 -138 	 1048 	
-540 	 27 	 1997 	
-400 	 -160 	 1331 	
215 	 4 	 -223 	
155 	 -129 	 -695 	
294 	 2 	 1435 	
-343 	 14 	 1991 	
-195 	 -149 	 602 	
191 	 20 	 -367 	
34 	 -214 	 -131 	
16 	 164 	 1900 	
-318 	 -129 	 1726 	
15 	 -120 	 -270 	
7 	 6 	 -504 	
200 	 -124 	 771 	
-328 	 62 	 1995 	
-222 	 -257 	 1096 	
72 	 4 	 -156 	
-129 	 -52 	 -420 	
200 	 37 	 1192 	
-401 	 -10 	 1980 	
-111 	 -291 	 743 	
48 	 90 	 457 	
-190 	 -57 	 -240 	
296 	 80 	 910 	
-263 	 -12 	 1990 	
-263 	 -133 	 1529 	
-14 	 111 	 1120 	
36 	 11 	 257 	
61 	 0 	 -95 	
342 	 16 	 871 	
4 	 4 	 1777 	
-231 	 35 	 1876 	
-101 	 28 	 1162 	
-143 	 104 	 614 	
-99 	 -3 	 -24 	
176 	 -23 	 137 	
240 	 83 	 1484 	
-13 	 52 	 1976 	
-39 	 21 	 1563 	
-46 	 100 	 1123 	
-188 	 93 	 636 	
