STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
4 	 83 	 892 	
-15 	 50 	 877 	
-28 	 65 	 879 	
-27 	 63 	 907 	
-28 	 42 	 958 	
-42 	 42 	 1079 	
-54 	 44 	 1161 	
-19 	 40 	 1196 	
-48 	 66 	 1224 	
-29 	 56 	 1131 	
-25 	 68 	 1100 	
-3 	 65 	 1009 	
0 	 77 	 934 	
-16 	 89 	 881 	
-27 	 81 	 855 	
-30 	 103 	 861 	
-26 	 97 	 821 	
-47 	 54 	 844 	
-7 	 61 	 1010 	
-49 	 62 	 1067 	
-2 	 62 	 1096 	
-49 	 73 	 1170 	
-55 	 79 	 1194 	
-30 	 78 	 1163 	
-49 	 91 	 1137 	
-10 	 86 	 1086 	
25 	 72 	 1006 	
18 	 99 	 983 	
3 	 97 	 892 	
-19 	 106 	 863 	
-53 	 88 	 824 	
-28 	 102 	 849 	
-41 	 97 	 845 	
-34 	 71 	 903 	
-35 	 81 	 1056 	
-64 	 76 	 1095 	
-55 	 72 	 1092 	
-25 	 87 	 1182 	
-61 	 87 	 1177 	
-32 	 89 	 1145 	
-12 	 92 	 1106 	
-1 	 74 	 1019 	
13 	 97 	 1020 	
-3 	 75 	 964 	
3 	 101 	 961 	
-46 	 102 	 929 	
-56 	 107 	 891 	
-29 	 106 	 847 	
-49 	 104 	 834 	
-60 	 96 	 882 	
-64 	 56 	 948 	
-30 	 87 	 1102 	
-78 	 70 	 1129 	
-61 	 102 	 1198 	
-94 	 127 	 1255 	
-95 	 93 	 1148 	
-20 	 109 	 1107 	
0 	 99 	 1000 	
-20 	 103 	 924 	
-42 	 106 	 860 	
-39 	 108 	 845 	
-15 	 85 	 827 	
-10 	 102 	 866 	
-44 	 101 	 874 	
-25 	 94 	 944 	
-47 	 95 	 1053 	
-21 	 102 	 1103 	
-7 	 106 	 1140 	
-44 	 116 	 1215 	
-39 	 127 	 1242 	
-29 	 114 	 1142 	
-29 	 124 	 1066 	
-40 	 117 	 1002 	
-3 	 97 	 895 	
0 	 116 	 873 	
-25 	 105 	 846 	
15 	 80 	 816 	
31 	 102 	 895 	
-3 	 87 	 886 	
-32 	 93 	 965 	
-69 	 115 	 1066 	
-124 	 123 	 1090 	
-83 	 138 	 1159 	
-96 	 140 	 1220 	
-130 	 128 	 1175 	
-71 	 135 	 1124 	
-39 	 119 	 1022 	
-35 	 117 	 952 	
-10 	 120 	 905 	
-16 	 122 	 841 	
-14 	 121 	 828 	
-8 	 113 	 852 	
1 	 96 	 899 	
-41 	 106 	 989 	
-41 	 101 	 1029 	
-72 	 120 	 1077 	
-75 	 106 	 1078 	
-91 	 127 	 1134 	
-102 	 128 	 1149 	
-115 	 132 	 1162 	
-96 	 126 	 1100 	
-52 	 119 	 1019 	
-38 	 123 	 975 	
-59 	 112 	 908 	
-38 	 129 	 879 	
-45 	 128 	 845 	
-57 	 117 	 847 	
-30 	 122 	 865 	
-24 	 89 	 924 	
-39 	 112 	 1041 	
-29 	 103 	 1050 	
-64 	 130 	 1102 	
-133 	 124 	 1139 	
-193 	 133 	 1166 	
-183 	 142 	 1148 	
-115 	 117 	 1064 	
-69 	 117 	 1024 	
-55 	 105 	 989 	
-5 	 107 	 946 	
-23 	 132 	 929 	
-35 	 127 	 868 	
-41 	 125 	 844 	
-28 	 124 	 860 	
-61 	 117 	 879 	
-61 	 93 	 949 	
-69 	 106 	 1064 	
-99 	 111 	 1092 	
-107 	 123 	 1123 	
-121 	 121 	 1167 	
-92 	 111 	 1184 	
-83 	 119 	 1166 	
-17 	 101 	 1073 	
9 	 128 	 1014 	
-39 	 124 	 932 	
-50 	 138 	 913 	
-30 	 146 	 869 	
-43 	 139 	 841 	
-11 	 119 	 830 	
-40 	 129 	 865 	
-31 	 99 	 884 	
-33 	 96 	 1019 	
-62 	 109 	 1113 	
-98 	 113 	 1129 	
-47 	 158 	 1212 	
-106 	 146 	 1174 	
-127 	 147 	 1148 	
-55 	 135 	 1093 	
-5 	 139 	 1029 	
-31 	 140 	 952 	
-29 	 136 	 897 	
-19 	 128 	 847 	
-52 	 152 	 856 	
-50 	 129 	 822 	
-41 	 138 	 837 	
-67 	 108 	 882 	
-62 	 128 	 1010 	
-50 	 113 	 1083 	
-68 	 127 	 1161 	
-34 	 152 	 1210 	
-78 	 153 	 1189 	
-104 	 168 	 1161 	
-63 	 144 	 1071 	
-45 	 160 	 1010 	
-48 	 149 	 945 	
-53 	 156 	 920 	
-43 	 147 	 852 	
-54 	 143 	 837 	
-15 	 128 	 832 	
-25 	 128 	 866 	
-48 	 114 	 918 	
-61 	 126 	 1016 	
-91 	 124 	 1068 	
-76 	 138 	 1114 	
-95 	 144 	 1132 	
-96 	 156 	 1150 	
-90 	 166 	 1150 	
-98 	 153 	 1110 	
-58 	 159 	 1066 	
